gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2018020003,2018-10-03,44,2,14,18,2,5,28,1,5,16,0,0,16,1,0,4,0,3,8,0,1,7,0,0,19,0,0,26,5,3,56,2,15,21,4,3,41,2,12,17,3,3,26,2,7,4,0,1,2,0,0,4,0,1,2,0,0,4,0,0,2,0,0,1,0,0,2,0,0,4,1,0,8,0,0,4,1,0,8,0,0
2018020028,2018-10-06,44.8,7.133333333333334,8.066666666666666,24,2,4,24,7,5,15,1,0,15,2,1,9,0,1,5,2,2,8,2,2,8,2,2,34,9,2,49,7,17,24,6,2,33,7,10,12,6,2,24,4,9,1,2,1,2,2,3,1,2,0,2,1,3,1,2,0,2,1,3,3,0,0,3,4,0,2,1,0,2,2,1,2,1,0,2,2,1
2018020037,2018-10-09,49.483333333333334,6.916666666666667,3.6,30,4,4,29,2,1,22,0,1,32,1,0,7,0,0,5,2,1,10,0,0,6,0,0,41,7,1,51,5,4,30,7,1,39,3,2,19,5,1,29,3,1,1,2,0,5,0,0,1,2,0,4,0,0,1,2,0,4,0,0,3,0,0,2,1,0,2,1,0,5,0,0,2,1,0,5,0,0
2018020053,2018-10-11,42.45,7.55,10,17,5,4,18,3,5,18,0,0,21,1,0,3,0,3,5,3,1,6,2,0,10,0,0,30,15,4,56,0,19,20,12,4,40,0,13,16,9,3,25,0,9,2,0,2,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,3,0,0,5,0,0,0,0,0,5,0,2,0,0,0,5,0,2
2018020064,2018-10-13,43.733333333333334,6.8,9.466666666666667,29,2,6,17,4,6,14,0,1,15,2,1,9,2,1,10,1,2,4,2,2,10,0,0,31,13,2,38,2,23,28,11,1,27,2,11,22,7,1,20,1,5,1,2,0,2,0,0,1,1,0,2,0,0,1,1,0,2,0,0,3,0,1,4,0,0,2,0,0,3,0,1,3,0,0,3,0,1
2018020081,2018-10-16,58.56666666666667,0,2,21,0,0,32,0,1,33,0,0,32,0,2,12,0,0,5,0,0,2,0,0,2,2,0,48,0,0,51,0,3,36,0,0,35,0,2,26,0,0,27,0,1,3,0,0,2,0,0,3,0,0,1,0,0,2,0,0,1,0,0,4,0,0,5,0,0,6,0,0,6,0,0,6,0,0,6,0,0
2018020094,2018-10-18,54.85,2.9166666666666665,2.2333333333333334,26,1,2,34,4,1,15,1,0,19,1,0,6,0,0,6,0,0,22,2,2,24,2,0,46,2,0,53,1,6,32,2,0,41,1,6,25,2,0,29,1,2,1,0,0,2,0,2,1,0,0,2,0,2,0,0,0,1,0,2,4,0,0,1,0,0,3,0,0,2,0,0,3,0,0,2,0,0
2018020112,2018-10-20,55.2,2,6,22,0,2,24,1,5,23,0,3,11,0,0,13,0,2,6,1,1,2,0,5,7,0,4,40,4,1,47,0,17,33,2,1,38,0,12,22,0,0,23,0,8,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,3,0,2,5,0,0,3,0,2
2018020121,2018-10-22,49.13333333333333,4.583333333333333,6.283333333333333,24,0,4,16,4,5,21,0,0,18,1,0,6,0,0,4,1,1,8,0,0,8,2,2,30,4,1,43,2,10,25,4,1,35,2,8,19,4,1,24,2,7,1,1,0,2,1,2,0,1,0,2,1,2,0,1,0,2,1,2,2,0,0,2,0,0,3,1,0,4,0,1,3,1,0,4,0,1
2018020133,2018-10-24,53.2,3.9,7.9,27,0,3,26,1,4,34,3,2,27,1,3,17,0,4,7,1,1,2,0,2,6,0,2,45,1,1,57,0,11,32,1,1,40,0,8,24,1,1,32,0,3,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0,2,1,1,8,0,0,1,0,0,4,0,2,1,0,0,4,0,2
