gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2014020014,2014-10-09,14.9,0,2.25,0,0,0,6,0,0,0,0,0,10,0,3,2,0,2,7,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,20,0,4,1,0,0,6,0,0,18,0,3,1,0,0,4,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
2014020029,2014-10-11,14.733333333333333,0.6666666666666666,5.416666666666667,0,0,0,8,0,4,0,0,0,9,0,1,1,0,1,9,0,2,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,16,2,2,10,0,4,0,1,0,10,1,2,5,0,4,0,0,0,7,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2014020035,2014-10-13,20.05,0.06666666666666667,1.8833333333333333,0,0,0,8,0,0,0,0,0,6,1,1,4,0,0,6,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,1,0,13,0,2,2,0,0,12,0,0,10,0,2,2,0,0,11,0,0,6,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020043,2014-10-14,13.85,0.3,3.7,0,0,0,6,0,2,0,0,0,8,0,1,6,0,1,10,0,2,1,0,0,11,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,13,0,1,15,0,9,0,0,0,8,0,1,11,0,6,0,0,0,7,0,1,9,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020054,2014-10-16,13.55,0,3.466666666666667,0,0,0,3,0,1,0,0,0,13,0,1,1,0,3,4,0,3,3,0,1,7,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,13,0,2,13,0,2,0,0,0,10,0,2,8,0,1,0,0,0,7,0,2,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2014020064,2014-10-18,14.6,0,1.6166666666666667,0,0,0,8,0,1,0,0,0,4,0,0,1,0,1,8,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,13,0,0,20,0,4,0,0,0,10,0,0,12,0,3,0,0,0,9,0,0,7,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020087,2014-10-21,23.083333333333332,0.25,1.2166666666666666,0,0,0,16,0,1,0,0,0,13,0,0,2,0,0,12,0,0,2,0,0,6,0,0,0,0,1,3,0,1,1,0,0,3,0,0,0,0,0,0,0,0,6,0,0,20,0,0,20,0,0,3,0,0,17,0,0,14,0,0,2,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2014020103,2014-10-24,15.216666666666667,0,1.7,0,0,0,10,0,1,0,0,0,12,0,1,0,0,0,6,0,0,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,15,0,1,14,0,1,2,0,0,14,0,1,12,0,0,2,0,0,12,0,1,8,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2014020117,2014-10-26,19.416666666666668,0.11666666666666667,3.033333333333333,0,0,0,10,0,0,0,0,0,9,1,2,4,0,0,8,0,1,4,0,0,12,0,0,0,0,0,1,0,0,4,0,0,7,0,0,0,0,0,2,0,0,1,0,0,10,0,0,31,0,3,0,0,0,6,0,0,21,0,2,0,0,0,6,0,0,9,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2014020133,2014-10-28,20.95,0,3.5,0,0,0,10,0,3,0,0,0,14,0,1,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0,9,0,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,20,0,1,28,0,3,2,0,0,18,0,1,24,0,2,2,0,0,13,0,1,21,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1,0,0,5,0,0
