gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2018020014,2018-10-04,17.6,0,4.166666666666667,0,0,0,8,0,1,0,0,0,6,0,4,3,0,0,15,0,1,1,0,1,17,0,1,2,0,0,6,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,1,11,0,1,10,0,5,1,0,1,7,0,1,6,0,3,1,0,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020025,2018-10-06,17.183333333333334,0,3.183333333333333,0,0,0,10,0,0,0,0,0,8,0,5,2,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,19,0,1,10,0,7,2,0,0,16,0,1,10,0,6,2,0,0,11,0,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2018020034,2018-10-08,17.85,0,1.8,0,0,0,6,0,3,0,0,0,4,0,1,3,0,0,11,0,0,3,0,0,8,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,1,17,0,1,11,0,2,1,0,1,12,0,1,9,0,2,1,0,1,8,0,1,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020043,2018-10-10,12.333333333333334,0,5.15,0,0,0,11,0,5,0,0,0,8,0,3,2,0,1,4,0,1,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,21,0,2,12,0,7,0,0,0,14,0,1,10,0,7,0,0,0,8,0,1,7,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0
2018020050,2018-10-11,15.966666666666667,0,0.9333333333333333,0,0,0,6,0,0,0,0,0,7,0,1,2,0,1,12,0,1,2,0,0,8,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,6,0,0,24,0,0,13,0,0,4,0,0,16,0,0,10,0,0,2,0,0,10,0,0,7,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018020058,2018-10-13,19.783333333333335,0,2.4166666666666665,0,0,0,6,0,1,0,0,0,9,0,1,1,0,0,5,0,0,1,0,0,12,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,17,0,0,17,0,6,1,0,0,15,0,0,14,0,2,0,0,0,7,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,3,0,0,2,0,1
2018020085,2018-10-16,15.9,0,6.8,0,0,0,7,0,3,0,0,0,5,0,6,2,0,0,13,0,1,0,0,0,5,0,1,1,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,18,0,1,13,0,8,0,0,0,10,0,0,6,0,5,0,0,0,6,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018020113,2018-10-20,17.166666666666668,0,2,0,0,0,3,0,0,0,0,0,7,0,2,6,0,0,10,0,0,3,0,0,24,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,14,0,1,15,0,2,1,0,0,10,0,1,9,0,2,0,0,0,8,0,1,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018020133,2018-10-24,19.166666666666668,0,1.6833333333333333,0,0,0,8,0,1,0,0,0,13,0,0,2,0,1,8,0,1,0,0,1,11,0,1,1,0,0,9,0,0,2,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,19,0,0,18,0,0,1,0,0,13,0,0,12,0,0,1,0,0,10,0,0,9,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018020144,2018-10-26,15.866666666666667,0.13333333333333333,2.95,0,0,0,9,0,2,0,0,0,9,1,1,3,0,0,18,0,1,3,0,0,11,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,19,0,0,13,0,8,3,0,0,15,0,0,6,0,7,3,0,0,13,0,0,5,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,3,0,0
