gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2013020015,2013-10-04,14.4,1.7666666666666666,4.1,0,0,0,6,2,0,0,0,0,10,1,4,0,0,0,5,0,1,0,1,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,19,5,0,15,0,4,2,2,0,12,3,0,13,0,3,2,2,0,8,3,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013020022,2013-10-05,18.35,0,5.366666666666666,0,0,0,12,0,3,0,0,0,6,0,6,6,0,0,15,0,1,4,0,0,16,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,20,0,1,20,0,11,3,0,0,14,0,1,14,0,9,3,0,0,11,0,0,9,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013020047,2013-10-09,13.316666666666666,0.55,4.466666666666667,0,0,0,7,2,3,0,0,0,8,0,4,3,0,0,10,0,0,3,0,0,10,0,0,0,0,0,1,0,0,1,0,1,3,0,2,0,0,0,2,0,2,0,0,0,6,0,2,1,1,0,10,3,1,16,0,12,0,1,0,6,3,1,13,0,11,0,0,0,6,2,0,8,0,4,0,0,0,2,1,0,1,0,2,0,0,0,2,1,0,1,0,2,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2
2013020074,2013-10-12,15.116666666666667,0.7333333333333333,5.283333333333333,0,0,0,4,2,3,0,0,0,10,0,6,1,0,0,5,0,1,3,0,0,8,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,9,0,0,0,0,0,6,5,0,2,0,0,14,0,1,20,0,15,1,0,0,9,0,0,17,0,13,0,0,0,6,0,0,10,0,11,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,4,0,2,1,0,0,1,0,0,4,0,2
2013020078,2013-10-13,11.483333333333333,0.75,7.95,0,0,0,3,1,6,0,0,0,8,0,8,1,0,0,7,0,1,1,0,0,6,0,1,0,0,0,3,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,1,3,11,0,17,1,0,0,8,1,2,10,0,13,1,0,0,5,0,1,7,0,9,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2013020093,2013-10-15,19.3,1.85,3.4833333333333334,0,0,0,9,1,2,0,0,0,12,0,2,3,0,0,5,0,0,5,0,1,11,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,21,2,1,17,0,2,3,0,0,19,2,1,15,0,2,2,0,0,14,1,1,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2013020101,2013-10-17,11.233333333333333,3.816666666666667,5.85,0,0,0,8,4,3,0,0,0,6,2,6,2,0,0,6,0,0,1,0,0,4,1,0,0,0,0,3,1,0,1,0,0,2,1,0,0,0,0,2,0,2,2,0,0,4,0,0,0,1,0,8,5,2,8,1,9,0,1,0,7,4,2,7,0,6,0,1,0,6,2,2,6,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2013020111,2013-10-19,12.716666666666667,4,5.633333333333334,0,0,0,8,2,4,0,0,0,6,5,4,1,0,2,8,0,3,0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,6,2,0,3,4,0,11,8,2,6,1,5,2,4,0,7,7,2,6,0,3,2,3,0,6,4,2,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0
2013020137,2013-10-23,12.55,1.8,3.35,0,0,0,4,0,3,0,0,0,5,2,4,0,0,0,5,0,1,1,0,0,8,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,5,0,11,0,7,0,0,0,6,3,0,8,0,7,0,0,0,5,3,0,8,0,4,0,0,0,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013020151,2013-10-25,13.45,2.5833333333333335,6.116666666666666,0,0,0,6,0,5,0,0,0,10,2,3,0,0,1,10,0,3,1,0,0,6,0,0,0,0,0,1,1,3,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,2,0,2,4,0,0,14,4,4,8,1,11,2,0,0,9,2,2,7,1,8,2,0,0,6,2,2,7,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013020166,2013-10-27,15.616666666666667,0,3.75,0,0,0,6,0,0,0,0,0,13,0,6,2,0,0,7,0,0,0,0,0,3,0,1,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,11,0,2,11,0,4,2,0,0,7,0,2,9,0,2,2,0,0,7,0,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2013020180,2013-10-29,16.733333333333334,0,1.4333333333333333,0,0,0,15,0,0,0,0,0,10,0,2,3,0,1,9,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,3,0,0,16,0,0,17,0,6,2,0,0,13,0,0,16,0,3,1,0,0,11,0,0,14,0,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,2,0,1
2013020194,2013-11-01,19.65,0.7833333333333333,5,0,0,0,8,0,4,0,0,0,9,0,6,3,0,0,22,0,1,1,0,0,5,0,0,1,0,0,3,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,4,0,2,3,0,0,18,0,1,26,0,8,1,0,0,12,0,1,22,0,7,0,0,0,9,0,1,18,0,4,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
