gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2021020008,2021-10-14,14.4,2.55,0,0,0,0,4,1,0,1,0,0,10,1,0,0,0,0,5,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,19,10,0,15,0,0,2,1,0,13,9,0,12,0,0,1,0,0,8,4,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021020022,2021-10-16,19.233333333333334,1.35,0,0,0,0,6,0,0,1,0,0,14,1,0,1,0,0,9,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,20,1,0,18,0,0,3,0,0,17,1,0,11,0,0,2,0,0,10,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2021020034,2021-10-17,15.516666666666667,1.8666666666666667,0,0,0,0,9,1,0,1,0,0,9,0,0,4,0,0,11,0,0,1,0,0,11,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,2,0,0,1,0,0,9,2,0,19,1,0,1,0,0,7,1,0,17,1,0,1,0,0,6,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021020053,2021-10-21,18.116666666666667,2.35,0,0,0,0,7,2,0,0,0,0,6,1,0,2,0,0,16,0,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0,0,3,2,0,2,0,0,0,0,0,7,0,0,24,0,0,16,1,0,5,0,0,17,0,0,12,1,0,4,0,0,9,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2021020067,2021-10-23,14.75,2.466666666666667,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,10,1,0,2,0,0,10,1,0,0,0,0,5,0,0,0,1,0,2,1,0,6,0,2,2,2,0,0,0,0,12,3,0,8,1,0,0,0,0,10,3,0,1,1,0,0,0,0,9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021020084,2021-10-25,18.25,1.95,0,0,0,0,12,2,0,0,0,0,9,2,0,0,0,0,1,0,0,5,0,0,10,2,0,0,0,0,4,0,0,0,0,0,3,0,0,4,0,0,0,0,0,2,1,0,17,6,0,12,0,0,1,1,0,12,5,0,8,0,0,1,1,0,9,5,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021020115,2021-10-29,14.983333333333333,2.65,0,0,0,0,5,3,0,0,0,0,8,1,0,2,0,0,2,0,0,2,0,0,8,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,9,6,0,16,0,0,1,1,0,8,4,0,12,0,0,1,0,0,7,2,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2021020133,2021-11-01,10.95,3.716666666666667,0,0,0,0,3,0,0,0,0,0,4,2,0,0,0,0,6,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,6,0,11,0,0,1,0,0,1,4,0,7,0,0,1,0,0,1,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021020138,2021-11-02,14.183333333333334,5.116666666666666,0,0,0,0,5,2,0,0,0,0,8,3,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,10,8,0,21,3,0,1,0,0,9,7,0,14,3,0,0,0,0,6,6,0,11,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2021020151,2021-11-04,13.033333333333333,1.55,0,0,0,0,7,1,0,0,0,0,3,0,0,4,0,0,10,0,0,1,0,0,3,0,0,1,0,0,4,0,0,2,0,0,6,1,0,0,0,0,0,0,0,5,0,0,15,4,0,11,1,0,5,0,0,11,3,0,8,1,0,4,0,0,8,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
