gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2024020008,2024-10-09,14.716666666666667,1.15,0,0,1,0,6,1,0,0,0,0,7,1,0,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,14,0,0,18,1,0,1,0,0,10,0,0,12,1,0,1,0,0,8,0,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2024020021,2024-10-11,14.066666666666666,1.7666666666666666,0,0,0,0,11,1,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0,1,0,0,2,1,0,3,2,0,0,0,0,0,0,0,5,0,0,16,2,0,15,0,0,3,0,0,12,2,0,13,0,0,3,0,0,10,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,2,0,0,2,1,0,3,0,0,2,0,0,2,1,0,3,0,0
2024020038,2024-10-13,11.083333333333334,0.9666666666666667,0,0,1,0,9,1,0,0,0,0,5,0,0,3,0,0,5,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,21,3,0,9,0,0,2,1,0,13,2,0,7,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,3,0,0,1,0,0
2024020073,2024-10-18,12.933333333333334,4.533333333333333,0,0,1,0,6,3,0,0,0,0,7,0,0,2,0,0,5,0,0,1,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,16,7,0,9,0,0,2,0,0,11,5,0,6,0,0,2,0,0,7,5,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2024020088,2024-10-20,14.666666666666666,1.6666666666666667,0,0,0,0,7,0,0,0,1,0,6,2,0,2,0,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,15,0,0,27,0,0,6,0,0,15,0,0,17,0,0,6,0,0,12,0,0,12,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,2,0,0,6,0,0,1,0,0,2,0,0,6,0,0
2024020099,2024-10-22,12,1.45,0,0,0,0,6,0,0,0,1,0,3,2,0,2,0,0,3,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,2,0,8,3,0,12,0,0,3,2,0,7,3,0,10,0,0,1,1,0,4,1,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,1,1,0,2,0,0
2024020116,2024-10-24,11.65,0.45,0,0,0,0,10,0,0,0,0,0,6,0,0,3,0,0,9,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,16,0,0,9,0,0,3,0,0,11,0,0,8,0,0,3,0,0,11,0,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2024020129,2024-10-26,10.866666666666667,0.48333333333333334,0,0,0,0,8,1,0,0,0,0,5,0,0,5,0,0,9,0,0,2,0,0,5,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,4,0,0,17,1,0,9,0,0,4,0,0,14,1,0,5,0,0,3,0,0,11,1,0,3,0,0,0,0,0,2,1,0,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024020143,2024-10-28,13.233333333333333,1.8833333333333333,0,0,0,0,4,0,0,1,1,0,5,1,0,3,0,0,10,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,10,2,0,10,0,0,1,0,0,4,1,0,7,0,0,1,0,0,2,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2024020156,2024-10-30,13.916666666666666,0.8833333333333333,0,0,0,0,9,0,0,0,0,0,6,0,0,1,0,0,2,0,0,2,1,0,11,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,17,2,0,8,0,0,6,0,0,12,2,0,5,0,0,4,0,0,8,1,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024020171,2024-11-01,13.966666666666667,0.7166666666666667,0,0,0,0,4,0,0,0,1,0,8,1,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,7,0,0,17,0,0,12,0,0,6,0,0,12,0,0,6,0,0,3,0,0,8,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2024020186,2024-11-03,12.833333333333334,2.15,0,0,0,0,11,0,0,0,0,0,8,0,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,6,1,0,12,2,0,3,0,0,6,1,0,9,0,0,3,0,0,6,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2024020201,2024-11-05,13.3,0.5166666666666667,0,0,0,0,8,1,0,1,0,0,8,0,0,4,0,0,9,0,0,3,0,0,5,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,15,0,0,13,0,0,4,0,0,14,0,0,10,0,0,3,0,0,11,0,0,7,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2024020217,2024-11-07,17.266666666666666,1.4833333333333334,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,11,4,0,20,0,0,3,0,0,10,4,0,15,0,0,2,0,0,7,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2024020230,2024-11-09,10.9,2.433333333333333,0,1,0,0,2,0,0,0,0,0,5,0,0,4,0,0,7,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,3,1,0,5,5,0,13,1,0,3,1,0,3,5,0,9,1,0,2,1,0,2,4,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0
2024020247,2024-11-12,11.916666666666666,0.5833333333333334,0.1,0,0,0,1,0,0,0,0,0,8,1,0,5,0,0,7,0,0,1,0,0,7,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,12,0,0,17,1,0,0,0,0,9,0,0,14,1,0,0,0,0,4,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0
2024020259,2024-11-14,12.783333333333333,2.65,0,0,0,0,6,1,0,0,0,0,6,2,0,1,0,0,7,0,0,1,1,0,8,1,0,0,0,0,4,1,0,1,0,0,7,1,0,2,0,0,2,0,0,6,0,0,15,4,0,19,0,0,6,0,0,11,1,0,15,0,0,3,0,0,7,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0
2024020277,2024-11-16,11.95,1.1833333333333333,0,0,0,0,4,0,0,2,0,0,6,1,0,3,0,0,8,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,6,1,0,0,0,0,5,1,0,3,1,0,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
