gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2018020009,2018-10-04,15.5,0.6333333333333333,0.03333333333333333,0,0,0,8,0,0,0,0,0,11,0,0,1,0,0,6,0,0,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,15,0,0,21,0,0,1,0,0,10,0,0,15,0,0,1,0,0,6,0,0,10,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2018020018,2018-10-06,16.3,1.9833333333333334,0,0,0,0,9,0,0,0,0,0,9,1,0,2,1,0,8,1,0,0,0,0,5,1,0,1,0,0,3,0,0,0,0,0,5,0,0,2,0,0,2,0,0,2,0,0,4,0,0,4,0,0,14,1,0,30,0,0,4,0,0,11,0,0,21,0,0,2,0,0,9,0,0,13,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020032,2018-10-08,12.383333333333333,3.316666666666667,0,1,0,0,9,1,0,0,0,0,7,3,0,1,0,0,4,0,0,1,0,0,4,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,2,0,7,2,0,15,5,0,13,2,0,6,1,0,13,4,0,11,2,0,6,1,0,10,2,0,10,2,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,4,0,0,1,0,0,3,0,0,4,0,0,1,0,0,2,0,0,4,0,0,1,0,0
2018020042,2018-10-10,13.166666666666666,5.383333333333334,0,0,0,0,6,2,0,0,0,0,4,5,0,0,0,0,6,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,4,0,0,0,2,0,2,2,0,3,2,0,14,8,0,11,2,0,3,1,0,12,7,0,8,2,0,2,0,0,8,4,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018020107,2018-10-20,14.266666666666667,3.533333333333333,0,2,0,0,8,1,0,0,0,0,7,1,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,4,0,0,0,0,0,4,0,0,4,2,0,20,4,0,8,2,0,3,2,0,17,4,0,4,2,0,2,2,0,13,3,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,0
2018020125,2018-10-23,14.3,3.466666666666667,0,2,1,0,5,2,0,0,0,0,8,2,0,4,0,0,8,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15,7,0,15,1,0,1,1,0,10,4,0,12,1,0,1,1,0,7,4,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2018020147,2018-10-26,15.566666666666666,1.6833333333333333,0,1,0,0,7,1,0,3,0,0,11,0,0,0,0,0,5,0,0,2,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,0,14,1,0,16,1,0,2,0,0,9,1,0,10,1,0,2,0,0,6,1,0,8,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2018020163,2018-10-28,19.016666666666666,0.9166666666666666,0,0,0,0,10,0,0,2,0,0,10,0,0,1,0,0,9,0,0,2,0,0,11,0,0,0,0,0,7,0,0,2,0,0,5,0,0,0,0,0,15,0,2,2,0,0,12,0,10,4,0,0,18,0,0,29,0,0,2,0,0,13,0,0,20,0,0,2,0,0,10,0,0,14,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,4,0,0,1,0,0,2,0,0,4,0,0
2018020175,2018-10-30,13.966666666666667,4.366666666666666,0,0,0,0,4,0,0,1,1,0,4,3,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,2,0,0,0,4,0,0,5,1,0,19,5,0,17,1,0,4,1,0,14,4,0,17,1,0,2,0,0,7,1,0,15,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,2,0,0,4,0,0
2018020183,2018-11-01,10.183333333333334,5.183333333333334,0,0,0,0,4,2,0,0,0,0,5,2,0,0,0,0,2,1,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,6,8,0,15,0,0,2,3,0,5,6,0,12,0,0,1,3,0,4,5,0,7,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
