gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2011020018,2011-10-08,13.833333333333334,0.9833333333333333,1.2333333333333334,0,0,0,8,0,0,0,0,0,2,1,0,3,0,0,8,0,0,1,0,0,6,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,16,0,0,17,0,0,5,0,0,10,0,0,16,0,0,5,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,3,0,0,1,0,0,3,0,0,3,0,0
2011020025,2011-10-10,14.333333333333334,1.7833333333333334,0.9833333333333333,0,0,0,6,0,0,0,1,0,7,3,0,2,0,0,6,0,0,2,0,0,7,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,3,0,9,2,1,6,0,0,12,3,0,9,1,1,5,0,0,7,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011020034,2011-10-12,12.183333333333334,1.4166666666666667,2.466666666666667,0,0,0,7,1,0,0,0,0,3,1,0,2,0,0,6,0,1,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,2,2,0,0,0,0,0,0,0,6,0,0,21,2,0,8,0,7,4,0,0,15,2,0,7,0,5,3,0,0,7,1,0,6,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011020041,2011-10-13,11.3,2.716666666666667,2.35,0,0,0,5,1,2,0,0,0,2,2,0,1,0,0,4,0,0,2,1,0,5,2,0,0,1,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,12,1,1,6,0,2,3,0,0,10,1,1,4,0,1,3,0,0,9,1,1,4,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2011020050,2011-10-15,15.233333333333333,2.8666666666666667,1.1333333333333333,0,0,0,14,2,1,0,0,0,6,0,0,3,0,0,6,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,0,24,4,0,18,0,1,5,0,0,16,1,0,15,0,0,4,0,0,12,1,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0
2011020064,2011-10-17,12.25,0.6333333333333333,2.216666666666667,0,0,0,12,1,0,0,0,0,7,0,0,0,0,2,4,0,2,2,0,1,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,15,2,0,14,0,2,3,0,0,12,0,0,8,0,1,3,0,0,8,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2011020086,2011-10-20,15.466666666666667,0.95,1.55,0,0,0,9,1,0,0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,19,1,0,11,0,2,5,0,0,18,0,0,10,0,0,4,0,0,13,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0
2011020106,2011-10-22,16.233333333333334,0,0,0,0,0,8,0,0,0,0,0,7,0,0,6,0,0,17,0,0,3,0,0,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,11,0,0,6,0,0,2,0,0,9,0,0,5,0,0,2,0,0,6,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2011020123,2011-10-26,16.033333333333335,0.13333333333333333,1.4,0,0,0,12,1,0,0,0,1,6,0,1,2,0,0,4,0,0,2,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,11,0,0,24,1,0,10,0,5,11,0,0,22,1,0,10,0,4,7,0,0,16,1,0,9,0,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,1,0,1,1,0,0,3,0,0,1,0,1
2011020138,2011-10-28,12.766666666666667,3.566666666666667,1.6333333333333333,0,0,0,9,3,0,0,0,0,5,0,0,2,0,0,2,0,0,2,1,0,5,1,0,0,0,0,2,0,1,0,0,0,1,1,0,2,0,0,2,0,0,8,0,1,27,10,1,7,0,3,5,0,1,19,6,1,6,0,1,5,0,1,15,4,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,3,0,0,5,1,0,1,0,0
