gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020030,2022-10-15,10.816666666666666,0,1.3833333333333333,0,0,0,8,0,0,0,0,0,6,0,0,6,0,0,17,0,0,0,0,0,5,0,0,0,0,1,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,1,17,0,1,0,0,0,7,0,0,13,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0
2022020113,2022-10-27,9.166666666666666,0,3.1666666666666665,0,0,0,6,0,0,0,0,0,5,0,2,1,0,0,10,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,8,0,9,0,0,0,3,0,0,6,0,7,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022020128,2022-10-29,14.816666666666666,0,4.6,0,0,0,7,0,3,0,0,0,9,0,3,2,0,2,9,0,2,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,2,21,0,6,0,0,0,4,0,2,18,0,5,0,0,0,3,0,1,15,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2022020148,2022-11-01,8.616666666666667,0,10.533333333333333,0,0,0,4,0,6,0,0,0,6,0,6,3,0,0,7,0,1,0,0,0,7,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,20,0,0,0,1,0,0,5,0,15,0,0,0,1,0,0,5,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,4
2022020163,2022-11-03,14.216666666666667,0,3.5166666666666666,0,0,0,11,0,2,0,0,0,7,0,4,0,0,0,8,0,0,0,0,1,7,0,1,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,2,1,0,0,19,0,1,10,0,3,1,0,0,15,0,1,10,0,2,1,0,0,12,0,1,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2022020182,2022-11-05,13.2,0,0.8333333333333334,0,0,0,4,0,0,0,0,0,6,0,2,4,0,0,9,0,1,5,0,0,10,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,18,0,0,19,0,2,0,0,0,10,0,0,13,0,2,0,0,0,7,0,0,11,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2022020200,2022-11-08,9.516666666666667,0,2.2666666666666666,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,16,0,1,7,0,5,1,0,0,14,0,1,6,0,2,1,0,0,10,0,1,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2022020376,2022-12-02,11.8,0.08333333333333333,1.75,0,0,0,4,0,0,0,0,0,8,0,0,2,0,0,8,0,0,1,0,1,6,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,7,0,4,0,0,0,6,0,0,5,0,3,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2022020383,2022-12-03,18.033333333333335,0,1.5333333333333334,0,0,0,10,0,1,0,0,0,6,0,0,0,0,0,10,0,0,2,0,0,10,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,25,0,0,12,0,2,2,0,0,18,0,0,9,0,1,1,0,0,14,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2022020406,2022-12-06,17.916666666666668,0,1.75,0,0,0,9,0,2,0,0,0,10,0,0,3,0,0,16,0,0,1,0,0,5,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,11,0,0,14,0,4,1,0,0,8,0,0,9,0,4,1,0,0,7,0,0,8,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
