gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020001,2022-10-07,10.65,0.05,0.6166666666666667,6,0,1,6,0,1,2,0,0,5,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,10,0,0,11,0,2,1,0,0,9,0,0,7,0,1,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0
2022020002,2022-10-08,9.483333333333333,0.11666666666666667,1.7166666666666666,4,1,0,4,1,0,2,0,0,2,0,0,1,0,0,5,0,0,0,0,1,7,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,1,6,0,1,1,0,0,3,0,1,4,0,1,1,0,0,3,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2022020024,2022-10-14,10.466666666666667,0.08333333333333333,1.0666666666666667,2,0,0,3,0,0,3,1,0,3,1,0,1,0,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,11,0,3,1,0,0,5,0,0,6,0,3,0,0,0,4,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,3,0,0
2022020038,2022-10-15,10.866666666666667,2.3833333333333333,1.0833333333333333,3,0,0,3,1,0,2,1,0,2,2,0,2,0,0,6,0,0,1,0,0,8,1,0,1,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,7,6,1,9,0,0,2,1,0,5,4,1,9,0,0,1,0,0,3,3,0,8,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
2022020051,2022-10-18,12.95,0,0.6,12,0,0,13,0,0,2,0,0,3,0,0,2,0,0,4,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,3,0,0,14,0,0,14,0,0,2,0,0,10,0,0,11,0,0,2,0,0,9,0,0,10,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,2,0,0,3,0,0
2022020064,2022-10-20,10.9,0.03333333333333333,2.8833333333333333,6,0,4,7,0,4,3,0,1,3,0,1,2,0,0,5,0,0,3,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,9,0,0,9,0,4,4,0,0,8,0,0,8,0,2,3,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1
2022020075,2022-10-22,11.233333333333333,0.21666666666666667,2.033333333333333,6,0,0,9,0,2,4,1,0,4,1,1,5,0,0,9,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,13,0,0,7,0,1,2,0,0,9,0,0,5,0,1,2,0,0,6,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022020091,2022-10-23,13.733333333333333,0.6833333333333333,1.95,7,0,1,7,0,1,7,1,2,9,1,2,4,0,0,7,0,0,1,1,0,6,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,18,1,0,13,0,2,4,0,0,11,1,0,8,0,1,4,0,0,9,1,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022020107,2022-10-25,14.216666666666667,0.7833333333333333,0,4,0,0,5,0,0,7,0,0,7,0,0,2,0,0,6,0,0,1,0,0,4,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,18,0,0,13,0,0,4,0,0,11,0,0,5,0,0,3,0,0,7,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2022020119,2022-10-27,12.616666666666667,0.48333333333333334,3.783333333333333,4,0,0,4,0,0,5,0,1,6,0,1,0,0,0,6,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,11,0,0,10,0,4,1,0,0,9,0,0,9,0,4,0,0,0,8,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
