gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2018020009,2018-10-04,16.583333333333332,0,1.3666666666666667,0,0,0,7,0,0,0,0,0,12,0,2,1,0,0,4,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,19,0,0,19,0,2,1,0,0,15,0,0,10,0,2,1,0,0,10,0,0,6,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2018020024,2018-10-06,11.516666666666667,0,1.5333333333333334,0,0,0,7,0,0,0,0,0,7,0,0,2,0,0,6,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,6,0,0,12,0,3,0,0,0,5,0,0,11,0,3,0,0,0,4,0,0,8,0,3,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2018020030,2018-10-07,14.45,0,0.9,0,0,0,10,0,0,0,0,0,11,0,0,3,0,0,4,0,0,2,0,0,9,0,0,0,0,0,2,0,1,2,0,0,4,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,14,0,0,17,0,1,2,0,0,5,0,0,13,0,1,1,0,0,4,0,0,11,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018020056,2018-10-11,15.533333333333333,0.05,0.6,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,1,19,0,0,1,0,0,8,0,1,14,0,0,0,0,0,4,0,1,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2018020068,2018-10-13,11.7,0,5.366666666666666,0,0,0,5,0,3,0,0,0,8,0,0,3,0,0,9,0,1,3,0,0,6,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,8,0,1,6,0,7,1,0,0,6,0,1,4,0,6,1,0,0,5,0,1,4,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018020095,2018-10-18,14.95,0.03333333333333333,0,0,0,0,6,0,0,0,0,0,10,1,0,1,0,0,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,11,0,0,16,0,0,0,0,0,6,0,0,10,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020127,2018-10-23,13.233333333333333,0,2.2333333333333334,0,0,0,7,0,3,0,0,0,4,0,0,1,0,0,7,0,0,2,0,0,7,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,0,0,12,0,2,5,0,4,0,0,0,8,0,2,3,0,3,0,0,0,6,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2018020139,2018-10-25,10.883333333333333,0,2.3333333333333335,0,0,0,5,0,0,0,0,0,5,0,0,0,0,1,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,5,0,0,0,5,0,0,5,0,1,0,0,10,0,1,6,0,2,1,0,0,8,0,1,6,0,2,1,0,0,7,0,1,4,0,2,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018020155,2018-10-27,13.966666666666667,0,3.05,0,0,0,6,0,0,0,0,0,8,0,2,4,0,0,5,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,11,0,0,2,0,0,13,0,0,10,0,7,0,0,0,7,0,0,8,0,6,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020162,2018-10-28,13.116666666666667,0.06666666666666667,1.2166666666666666,0,0,0,8,1,2,0,0,0,6,0,1,0,0,0,8,0,0,1,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,12,0,0,12,0,3,1,0,0,9,0,0,7,0,2,1,0,0,7,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
