gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2020020001,2021-01-13,19.45,0.4,1.5833333333333333,0,0,0,7,1,0,0,0,0,11,0,2,1,0,1,6,0,1,5,0,0,7,0,1,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,3,0,0,15,0,0,11,0,4,2,0,0,11,0,0,9,0,2,2,0,0,10,0,0,6,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2020020018,2021-01-15,12.416666666666666,0,5.766666666666667,0,0,0,7,0,3,0,0,0,3,0,4,1,0,0,6,0,3,1,0,0,6,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,14,0,3,9,0,4,2,0,1,12,0,3,7,0,3,1,0,1,8,0,3,6,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2020020035,2021-01-17,19.733333333333334,0,1.6,0,0,0,8,0,3,0,0,0,12,0,0,1,0,0,7,0,0,6,0,0,18,0,2,0,0,0,2,0,0,1,0,0,1,0,0,2,0,2,2,0,0,3,0,0,15,0,1,14,0,1,2,0,0,13,0,1,9,0,1,0,0,0,9,0,0,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020020050,2021-01-19,25.183333333333334,0,2.4166666666666665,0,0,0,18,0,2,0,0,0,4,0,3,3,0,0,13,0,0,5,0,1,21,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,21,0,1,14,0,4,3,0,0,17,0,1,10,0,3,3,0,0,14,0,1,9,0,3,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,5,0,0,0,0,0
2020020068,2021-01-22,22.333333333333332,0.18333333333333332,3.75,0,0,0,15,0,4,0,0,0,3,1,1,2,0,1,11,0,2,3,0,0,16,0,0,1,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,13,0,1,18,0,3,1,0,0,10,0,1,14,0,3,1,0,0,8,0,1,10,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2020020083,2021-01-24,23.55,0,2.3333333333333335,0,0,0,15,0,1,0,0,0,15,0,2,2,0,1,6,0,1,1,0,0,9,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,25,0,0,15,0,5,2,0,0,16,0,0,13,0,4,1,0,0,7,0,0,8,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2020020093,2021-01-26,12.866666666666667,0.7166666666666667,1.9666666666666666,0,0,0,6,0,0,0,0,0,8,2,3,0,0,0,4,0,0,3,0,0,8,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,14,1,0,6,0,4,1,0,0,10,1,0,6,0,4,0,0,0,7,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020020668,2021-03-06,18.016666666666666,0,5.75,0,0,0,8,0,2,0,0,0,14,0,6,2,0,1,10,0,4,2,0,0,10,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,15,0,3,9,0,8,1,0,0,10,0,1,8,0,5,1,0,0,7,0,1,8,0,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020020393,2021-03-07,19.25,0.55,1.4,0,0,0,14,0,1,0,0,0,11,0,1,0,0,0,7,0,1,2,0,0,15,1,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,12,0,0,11,0,2,0,0,0,9,0,0,9,0,1,0,0,0,7,0,0,9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020020405,2021-03-09,20.466666666666665,0,2.2666666666666666,0,0,0,13,0,2,0,0,0,11,0,3,6,0,0,15,0,0,4,0,0,11,0,0,0,0,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,2,17,0,4,23,0,4,1,0,2,14,0,4,14,0,4,1,0,0,11,0,2,11,0,3,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
