gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2015020013,2015-10-09,14.95,4.216666666666667,1.9,0,0,0,12,3,1,0,0,0,9,2,1,0,0,0,4,0,1,1,0,0,6,1,0,0,1,0,2,1,1,0,1,0,2,3,0,0,0,0,6,0,0,0,0,0,6,0,0,0,1,0,16,4,0,8,1,3,0,0,0,11,3,0,8,1,2,0,0,0,8,3,0,7,1,2,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015020021,2015-10-10,13.45,4.583333333333333,1.7333333333333334,0,0,0,6,1,0,0,0,0,9,4,1,1,0,0,8,1,0,2,0,0,14,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,2,0,14,10,0,11,1,4,0,2,0,11,8,0,9,1,3,0,2,0,10,5,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
2015020034,2015-10-12,14.9,2.316666666666667,1.9333333333333333,0,0,0,7,4,1,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,9,0,0,1,1,0,13,6,1,9,0,4,1,0,0,11,5,1,6,0,3,1,0,0,8,5,0,3,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
2015020046,2015-10-14,16.516666666666666,4.433333333333334,0.25,0,0,0,13,4,0,0,0,0,10,1,1,0,0,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,1,0,13,12,0,12,0,1,0,1,0,9,10,0,11,0,1,0,1,0,7,10,0,9,0,1,0,0,0,1,1,0,2,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,1,0,0,2,3,0,2,0,0
2015020059,2015-10-16,18.516666666666666,5.433333333333334,0,0,0,0,8,4,0,0,0,0,15,1,0,0,0,0,13,2,0,1,0,0,11,1,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,4,2,0,0,0,0,0,2,0,3,1,0,17,6,0,19,1,0,2,0,0,14,4,0,14,1,0,2,0,0,11,4,0,10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0
2015020072,2015-10-17,17.183333333333334,2.2666666666666666,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,14,1,0,2,0,0,8,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,11,4,0,17,1,0,0,0,0,7,4,0,8,1,0,0,0,0,6,4,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2015020084,2015-10-20,13.433333333333334,5.816666666666666,0,0,0,0,7,6,0,0,0,0,6,2,0,1,0,0,8,1,0,1,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,2,0,13,8,0,13,2,0,1,1,0,8,5,0,8,2,0,1,0,0,7,3,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,2,1,0
2015020096,2015-10-22,17.466666666666665,1.1,1.1333333333333333,0,0,0,4,0,1,0,0,0,11,2,0,0,0,0,5,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,17,1,1,18,0,2,2,0,0,12,1,1,11,0,2,1,0,0,9,1,1,9,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2015020115,2015-10-24,15.816666666666666,2.6333333333333333,0.6333333333333333,0,0,0,6,1,0,0,0,0,11,1,0,0,0,0,3,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,2,0,3,0,0,15,3,0,7,2,1,3,0,0,12,1,0,6,2,1,3,0,0,10,1,0,4,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015020125,2015-10-27,16.6,3,1.3,0,0,0,5,0,0,0,0,0,9,1,0,0,0,0,10,0,1,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,14,0,2,0,0,0,6,1,0,13,0,2,0,0,0,4,0,0,7,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
