gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2012020002,2013-01-19,12.3,0,1.3166666666666667,0,0,0,5,0,0,0,0,0,4,0,1,2,0,0,7,0,1,2,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14,0,1,10,0,2,1,0,0,10,0,1,7,0,2,1,0,0,8,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012020024,2013-01-21,13.433333333333334,0.18333333333333332,0.48333333333333334,1,0,0,9,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,9,0,0,12,0,2,1,0,0,7,0,0,10,0,2,1,0,0,7,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2012020044,2013-01-24,12,0.06666666666666667,1.3166666666666667,0,0,0,6,1,0,0,0,0,7,0,0,4,0,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,10,0,3,1,0,0,10,1,0,7,0,2,1,0,0,8,1,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012020053,2013-01-25,14.133333333333333,1.4166666666666667,0.18333333333333332,1,0,0,8,2,0,0,0,0,6,1,0,4,0,0,7,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,12,5,0,16,1,0,1,0,0,9,3,0,11,1,0,1,0,0,7,3,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012020066,2013-01-27,16.133333333333333,1.6,0,1,0,0,11,1,0,0,1,0,7,1,0,6,0,0,11,0,0,2,0,0,8,0,0,1,0,0,3,0,0,1,0,0,5,1,0,0,0,0,0,0,0,3,0,0,19,2,0,12,1,0,3,0,0,14,2,0,8,1,0,1,0,0,7,2,0,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2012020082,2013-01-29,12.45,0.5333333333333333,0.5666666666666667,0,0,0,9,0,0,0,0,0,5,2,0,2,0,0,12,0,0,1,0,0,8,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,8,2,0,7,0,1,0,0,0,5,1,0,5,0,1,0,0,0,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012020088,2013-01-30,13.083333333333334,1.0666666666666667,0.7833333333333333,0,0,0,10,0,0,0,1,0,7,1,1,2,0,0,9,0,0,1,0,0,8,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,13,5,0,15,0,3,2,0,0,9,3,0,9,0,3,1,0,0,7,3,0,4,0,3,0,0,0,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,3,0,1
2012020102,2013-02-01,8.75,3.5833333333333335,0,0,0,0,5,0,0,1,0,0,6,1,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,10,4,0,10,4,0,0,2,0,8,3,0,9,4,0,0,0,0,5,1,0,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0
2012020120,2013-02-03,10.866666666666667,1.3166666666666667,0,0,0,0,4,1,0,0,0,0,4,0,0,2,0,0,10,0,0,2,0,0,5,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,11,1,0,11,0,0,2,0,0,8,1,0,10,0,0,1,0,0,5,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012020132,2013-02-05,13.366666666666667,0,2.35,1,0,0,8,0,1,0,0,0,2,0,3,2,0,1,7,0,1,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,14,0,0,16,0,3,1,0,0,13,0,0,12,0,2,1,0,0,9,0,0,9,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0
