gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2024020020,2024-10-11,14.85,1.1333333333333333,3.183333333333333,6,0,0,11,0,1,7,0,0,10,1,0,1,0,0,4,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,6,0,0,2,0,0,0,0,0,3,0,1,19,0,1,12,0,3,3,0,0,12,0,0,10,0,2,2,0,0,8,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2024020048,2024-10-15,11.166666666666666,3.433333333333333,1.7333333333333334,5,0,1,5,1,1,4,0,1,6,1,1,1,1,0,1,1,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,13,6,0,14,1,2,3,0,0,13,4,0,7,1,1,3,0,0,9,2,0,7,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,3,1,0,0,0,0
2024020064,2024-10-17,14.1,0,1.1,8,0,0,8,0,0,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,15,0,0,10,0,0,3,0,0,11,0,0,8,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024020075,2024-10-19,12.9,2.0166666666666666,2.0166666666666666,4,0,1,5,1,1,6,0,0,8,0,0,3,0,0,5,0,0,2,0,0,11,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,4,2,0,1,0,0,14,4,0,6,0,5,1,0,0,9,1,0,3,0,2,1,0,0,7,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2024020091,2024-10-21,11.95,1.2833333333333334,3.6,6,0,1,6,0,1,4,0,0,6,1,0,1,0,0,4,0,0,1,0,1,4,0,1,0,0,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,9,3,1,8,0,9,1,1,0,6,1,1,5,0,7,1,1,0,4,1,1,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2024020094,2024-10-22,11.2,0.5666666666666667,1.35,11,0,1,12,0,1,6,0,1,6,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,14,2,0,8,0,1,1,1,0,12,2,0,7,0,0,1,1,0,8,2,0,7,0,0,0,0,0,3,1,0,1,0,0,1,1,0,3,1,0,1,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
2024020112,2024-10-24,13.6,0,4.35,5,0,3,5,0,3,7,0,4,9,0,4,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,1,0,1,2,0,0,9,0,0,0,0,0,0,0,0,1,0,1,13,0,2,15,0,7,1,0,1,8,0,2,12,0,5,1,0,1,4,0,2,9,0,3,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,3,0,1
2024020127,2024-10-26,14.266666666666667,2.3833333333333333,1.7,5,0,2,7,0,2,7,0,3,10,1,3,0,0,0,4,0,0,2,0,0,8,1,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,11,3,0,17,1,3,0,0,0,6,2,0,13,1,1,0,0,0,3,2,0,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
2024020141,2024-10-28,14.25,0.8333333333333334,3.3,5,0,1,7,0,1,7,0,1,7,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,1,15,0,2,18,2,4,2,0,1,9,0,1,11,2,2,2,0,1,5,0,1,9,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2024020157,2024-10-30,12.233333333333333,1.8666666666666667,5.15,3,1,1,4,1,2,2,0,2,3,0,2,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,1,0,0,2,0,0,5,0,1,0,0,0,2,0,0,3,2,0,13,2,0,17,1,11,2,2,0,11,2,0,11,1,8,2,0,0,9,0,0,9,1,5,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1
