gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2018020020,2018-10-06,17.783333333333335,0,3.033333333333333,0,0,0,8,0,0,0,0,0,12,0,0,3,0,0,10,0,1,2,0,0,6,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,15,0,0,15,0,2,2,0,0,14,0,0,13,0,1,1,0,0,11,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018020048,2018-10-11,18.616666666666667,0.25,2.5,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,7,0,0,3,0,1,11,0,1,1,0,1,4,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,16,0,2,14,0,3,0,0,0,14,0,2,7,0,3,0,0,0,9,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020071,2018-10-14,13.45,0.7166666666666667,1.0333333333333334,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,16,0,2,17,0,2,3,0,0,13,0,2,12,0,2,3,0,0,13,0,2,9,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,2,0,1,1,0,0,2,0,0,2,0,1
2018020078,2018-10-16,17.4,0.7,1.35,0,0,0,9,0,0,0,0,0,10,0,1,1,0,0,4,0,0,1,0,0,3,1,0,0,0,1,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,14,0,0,1,0,0,10,0,0,11,0,0,1,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020091,2018-10-18,14.816666666666666,0.31666666666666665,3.95,0,0,0,16,0,0,0,0,0,6,0,0,1,0,1,5,0,2,1,0,0,6,0,0,0,0,0,1,0,1,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,11,1,1,10,0,3,0,0,0,11,1,1,9,0,3,0,0,0,7,0,1,9,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2018020102,2018-10-20,18.533333333333335,0.1,2.8833333333333333,0,0,0,6,0,0,0,0,0,15,0,4,0,0,0,7,0,0,4,0,0,10,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,9,0,1,25,0,4,0,0,0,6,0,1,15,0,3,0,0,0,5,0,1,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2018020136,2018-10-25,16.9,0,1.5166666666666666,0,0,0,8,0,1,0,0,0,17,0,1,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,15,0,0,18,0,5,2,0,0,12,0,0,18,0,2,2,0,0,11,0,0,9,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018020148,2018-10-27,13.766666666666667,0,2.8666666666666667,0,0,0,6,0,1,0,0,0,12,0,2,0,0,0,6,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,20,0,1,20,0,5,0,0,0,16,0,1,12,0,3,0,0,0,10,0,0,9,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2018020172,2018-10-30,19.516666666666666,0.1,0.9833333333333333,0,0,0,10,1,0,0,0,0,14,0,3,1,0,0,7,0,0,1,0,0,11,0,0,1,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,19,0,1,18,0,1,1,0,0,15,0,0,14,0,1,1,0,0,11,0,0,14,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020184,2018-11-01,15.466666666666667,0,0.8166666666666667,0,0,0,8,0,0,0,0,0,7,0,0,1,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,0,0,4,0,0,15,0,0,14,0,1,2,0,0,10,0,0,10,0,1,2,0,0,7,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
