gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2011020021,2011-10-08,11.916666666666666,7.466666666666667,0,0,0,0,7,5,0,0,0,0,5,3,0,0,0,0,8,3,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,1,1,0,11,11,0,12,1,0,0,1,0,8,8,0,9,1,0,0,1,0,7,7,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2011020031,2011-10-10,12.816666666666666,7.35,0.23333333333333334,0,0,0,9,3,0,0,0,0,8,3,0,1,0,0,5,1,0,2,0,0,6,1,0,0,0,0,2,1,0,1,0,0,2,2,0,0,0,0,9,2,0,0,0,0,4,5,0,3,2,0,23,19,0,8,2,0,1,2,0,16,15,0,6,2,0,1,1,0,8,11,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
2011020043,2011-10-13,13.266666666666667,2.1333333333333333,0,0,0,0,7,1,0,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,11,4,0,7,2,0,3,0,0,8,2,0,7,2,0,3,0,0,7,1,0,5,2,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2011020055,2011-10-15,10.833333333333334,6.9,0,0,0,0,6,7,0,0,0,0,3,2,0,0,0,0,1,2,0,0,0,0,4,0,0,1,0,0,2,1,0,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,2,0,0,4,3,0,8,16,0,6,3,0,3,3,0,7,11,0,3,3,0,2,2,0,5,8,0,2,2,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2011020077,2011-10-18,11.783333333333333,3.5166666666666666,0,0,0,0,3,2,0,0,1,0,6,2,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,1,1,0,8,3,0,13,4,0,1,1,0,8,3,0,10,4,0,1,0,0,3,1,0,7,4,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011020090,2011-10-20,16.883333333333333,5.116666666666666,0,0,0,0,5,2,0,0,0,0,5,3,0,0,0,0,9,1,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,6,1,0,19,10,0,11,0,0,4,0,0,15,7,0,7,0,0,1,0,0,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011020109,2011-10-23,13.266666666666667,4.933333333333334,0.36666666666666664,0,0,0,4,3,1,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,14,12,0,6,0,1,3,0,0,12,9,0,5,0,1,2,0,0,9,8,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011020120,2011-10-25,17.083333333333332,4.15,0,0,0,0,7,1,0,0,0,0,5,2,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,2,0,7,2,0,19,7,0,14,0,0,6,1,0,17,5,0,11,0,0,4,0,0,9,4,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
2011020135,2011-10-27,12.116666666666667,4.066666666666666,0,0,0,0,8,4,0,0,0,0,5,2,0,0,0,0,3,1,0,2,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,18,9,0,13,2,0,4,2,0,16,5,0,8,2,0,3,2,0,14,3,0,7,1,0,1,1,0,2,1,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0
2011020151,2011-10-29,14.066666666666666,3.5,0,0,1,0,5,3,0,1,0,0,10,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,0,0,2,2,0,14,8,0,15,0,0,2,0,0,12,4,0,10,0,0,2,0,0,9,3,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
