gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2015020005,2015-10-08,18.383333333333333,0,0,0,0,0,6,0,0,0,0,0,13,0,0,3,0,0,10,0,0,1,0,0,12,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,7,0,0,8,0,0,0,0,0,4,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020018,2015-10-10,13.083333333333334,0,5.216666666666667,0,0,0,7,0,3,0,0,0,9,0,3,2,0,0,9,0,3,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,2,0,0,1,0,0,9,0,3,15,0,1,1,0,0,6,0,2,13,0,1,1,0,0,5,0,1,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015020032,2015-10-12,14.883333333333333,0,2.6166666666666667,0,0,0,6,0,2,0,0,0,11,0,1,4,0,1,11,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,12,0,1,6,0,9,1,0,0,8,0,0,4,0,7,0,0,0,6,0,0,3,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020048,2015-10-14,16.866666666666667,0.08333333333333333,3.5833333333333335,0,0,0,8,0,2,0,0,0,7,0,2,1,0,0,3,0,0,1,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,3,0,0,0,10,0,0,10,0,3,0,0,0,8,0,0,3,0,3,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020074,2015-10-17,15.8,0,1.4,0,0,0,11,0,0,0,0,0,7,0,0,5,0,0,13,0,0,1,0,1,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,14,0,0,18,0,0,1,0,0,12,0,0,11,0,0,1,0,0,9,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0
2015020089,2015-10-21,17.833333333333332,0.06666666666666667,3.0833333333333335,0,0,0,8,0,0,0,0,0,14,0,3,2,0,2,9,0,3,5,0,0,12,0,2,0,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,12,1,2,15,0,2,1,0,0,8,1,2,13,0,2,1,0,0,8,1,1,10,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020101,2015-10-23,18.9,0,1,0,0,0,12,0,0,0,0,0,5,0,1,4,0,0,13,0,0,0,0,0,8,0,1,0,0,0,3,0,1,1,0,0,3,0,0,5,0,0,5,0,0,6,0,0,19,0,0,11,0,1,2,0,0,11,0,0,8,0,1,2,0,0,9,0,0,6,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2015020124,2015-10-27,18.45,0.16666666666666666,2.3333333333333335,0,0,0,15,1,2,0,0,0,13,0,2,1,0,0,5,0,0,2,0,0,6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,16,0,0,17,0,5,2,0,0,13,0,0,10,0,3,0,0,0,8,0,0,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020150,2015-10-30,18.25,0,3.316666666666667,0,0,0,13,0,2,0,0,0,9,0,3,4,0,1,16,0,4,3,0,0,10,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,10,0,0,18,0,9,1,0,0,7,0,0,15,0,6,0,0,0,5,0,0,11,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2015020159,2015-10-31,16.983333333333334,0,3.433333333333333,0,0,0,11,0,1,0,0,0,12,0,1,1,0,0,8,0,1,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,10,0,9,0,0,0,12,0,1,6,0,7,0,0,0,10,0,1,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
