gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2013020007,2013-10-03,15.483333333333333,4.433333333333334,0.4666666666666667,0,0,0,8,2,1,0,0,0,9,7,0,1,1,0,5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,3,0,0,12,7,0,16,2,0,3,0,0,11,5,0,9,2,0,3,0,0,8,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013020026,2013-10-05,14.2,0.5166666666666667,1.5333333333333334,0,0,0,5,1,1,0,0,0,11,0,2,2,0,0,4,0,0,1,0,0,5,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,2,0,0,3,0,0,14,2,0,13,0,3,2,0,0,6,2,0,10,0,3,0,0,0,2,1,0,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2013020041,2013-10-08,11.716666666666667,2.566666666666667,0,0,0,0,3,2,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,0,0,0,5,0,1,1,0,12,6,0,10,0,0,1,1,0,9,4,0,7,0,0,1,1,0,5,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2013020052,2013-10-10,12.133333333333333,3.8833333333333333,0.38333333333333336,0,0,0,3,4,0,0,0,0,7,0,0,2,0,0,8,0,0,0,0,0,3,0,0,1,0,0,2,1,0,2,1,0,3,2,0,2,0,0,0,0,0,2,1,0,9,7,0,9,0,1,2,1,0,8,6,0,6,0,1,2,1,0,7,5,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013020066,2013-10-12,8.916666666666666,4.216666666666667,0,0,0,0,2,5,0,0,0,0,7,1,0,2,0,0,5,0,0,1,1,0,5,2,0,0,0,0,1,1,0,0,1,0,2,2,0,5,0,0,5,0,10,1,3,0,7,9,0,5,0,0,1,3,0,7,8,0,3,0,0,1,2,0,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013020088,2013-10-15,13.55,3.6,1.3333333333333333,0,0,0,7,0,0,0,0,0,7,2,0,3,0,0,8,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,17,5,0,11,1,5,4,0,0,14,1,0,9,1,3,3,0,0,11,0,0,6,0,3,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,0
2013020102,2013-10-17,13.383333333333333,4.866666666666666,0.4,0,0,0,4,2,0,0,0,0,5,4,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,2,4,0,2,2,0,0,0,0,2,3,0,12,8,0,11,0,0,2,3,0,9,7,0,9,0,0,1,2,0,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2013020114,2013-10-19,10.266666666666667,2.3833333333333333,0.23333333333333334,0,0,0,3,0,0,0,0,0,7,2,0,2,0,0,4,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,6,2,0,9,1,1,2,0,0,6,2,0,6,0,1,2,0,0,5,1,0,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013020143,2013-10-24,13.683333333333334,2.7333333333333334,0.13333333333333333,1,0,0,5,1,0,0,0,0,6,3,1,5,0,0,10,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,10,3,0,16,0,0,2,0,0,8,2,0,11,0,0,2,0,0,5,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013020159,2013-10-26,7.766666666666667,6.6,0,0,0,0,2,5,0,0,0,0,3,3,0,2,0,0,2,0,0,2,0,0,5,1,0,1,0,0,1,1,0,1,0,0,3,2,0,0,0,0,0,2,0,2,2,0,6,8,0,7,0,0,2,2,0,4,7,0,4,0,0,2,2,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
