gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2025020011,2025-10-09,14.083333333333334,1.7666666666666666,2.3,1,0,0,8,1,1,1,0,1,6,0,1,1,0,0,5,0,0,3,0,0,9,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,3,2,0,17,5,0,8,0,4,3,2,0,13,4,0,7,0,3,3,1,0,10,2,0,4,0,2,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2025020027,2025-10-11,10.266666666666667,1.25,3.1,1,0,1,8,1,2,1,1,1,1,1,2,0,0,0,5,0,0,2,0,0,6,0,1,0,0,0,4,0,1,1,0,1,5,0,1,0,0,0,2,0,0,1,0,0,11,1,0,13,0,2,0,0,0,8,1,0,8,0,2,0,0,0,7,1,0,8,0,1,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2025020041,2025-10-13,12.65,1.9166666666666667,3.8666666666666667,3,0,1,10,2,4,1,0,0,5,1,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,1,1,0,11,4,0,13,1,2,1,1,0,8,2,0,10,1,1,1,1,0,5,2,0,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025020057,2025-10-15,11.3,4.5,0.6166666666666667,3,1,1,6,5,1,1,0,1,5,1,1,3,0,0,6,0,0,2,0,0,8,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,12,12,0,13,2,1,0,1,0,7,8,0,10,2,1,0,0,0,3,6,0,9,2,1,0,0,0,1,1,0,2,1,0,0,1,0,1,1,0,2,1,0,0,0,0,1,1,0,2,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,3,0,0
2025020063,2025-10-16,13.65,2.183333333333333,1.7333333333333334,0,0,0,4,3,0,1,0,1,5,0,1,1,0,0,3,0,0,2,0,0,7,0,0,1,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,10,6,0,16,0,2,1,0,0,7,3,0,9,0,2,1,0,0,2,1,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
2025020077,2025-10-18,12.733333333333333,2.6166666666666667,2.05,3,0,0,8,1,2,4,0,1,6,1,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,3,0,0,13,2,0,10,1,1,3,0,0,11,2,0,5,1,1,3,0,0,8,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025020099,2025-10-21,12.766666666666667,1.45,1.7166666666666666,2,1,0,2,2,1,2,0,0,4,0,2,2,0,0,7,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,13,1,0,3,3,3,1,0,0,10,0,0,3,3,2,1,0,0,8,0,0,2,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0
2025020112,2025-10-23,11.016666666666667,4.016666666666667,2.8666666666666667,3,1,2,3,2,2,2,1,0,3,2,2,4,0,0,8,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,4,4,0,5,2,4,0,0,0,4,3,0,1,2,1,0,0,0,3,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025020135,2025-10-25,13.766666666666667,2.1166666666666667,2.5,5,0,0,9,0,1,2,0,1,3,1,1,0,0,0,3,0,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,2,0,1,4,0,0,2,0,0,3,0,0,16,2,0,11,0,4,1,0,0,11,2,0,7,0,3,1,0,0,8,2,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2025020149,2025-10-27,12.916666666666666,1.8666666666666667,1.1166666666666667,3,0,0,7,2,0,2,0,0,8,1,1,2,0,0,8,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,4,4,0,11,1,1,2,0,0,4,3,0,7,1,1,2,0,0,3,3,0,5,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
