gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2021020018,2021-10-15,14.8,1.9166666666666667,0.9333333333333333,0,0,0,5,2,0,0,0,0,3,1,0,3,0,0,9,0,0,1,0,0,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,10,5,1,18,0,1,2,2,0,8,4,1,12,0,0,2,2,0,6,4,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2021020036,2021-10-18,9.883333333333333,1.5333333333333334,2.35,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,8,3,0,7,0,2,4,1,0,7,2,0,5,0,2,4,1,0,7,1,0,5,0,1,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2021020050,2021-10-20,12.2,1.1166666666666667,0.9333333333333333,0,0,0,4,0,0,0,0,0,5,1,0,2,0,0,10,0,0,1,0,0,4,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,5,0,0,16,1,1,11,1,1,5,0,0,11,1,1,8,1,0,4,0,0,9,1,1,7,1,0,2,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2021020070,2021-10-23,9.866666666666667,2.4833333333333334,4.066666666666666,0,0,0,6,1,0,0,0,0,7,1,0,1,0,0,6,0,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,6,0,1,9,1,2,1,0,1,4,0,1,8,1,2,0,0,1,3,0,1,4,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021020101,2021-10-27,13.466666666666667,1.85,1.1166666666666667,0,0,0,5,2,0,0,0,0,6,0,0,1,0,0,8,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,4,1,0,6,3,0,16,0,4,4,1,0,6,2,0,12,0,2,4,0,0,6,1,0,10,0,2,2,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021020106,2021-10-28,12.45,3.0166666666666666,1.6833333333333333,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,3,0,10,0,2,3,0,0,8,3,0,8,0,2,3,0,0,7,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021020123,2021-10-30,12.25,2.4166666666666665,1.1,0,0,0,5,2,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,7,3,0,16,0,2,2,1,0,5,1,0,13,0,1,2,0,0,4,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021020137,2021-11-02,13.083333333333334,3.3833333333333333,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,7,13,0,13,0,0,2,1,0,6,10,0,9,0,0,2,0,0,4,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,2,0,0
2021020153,2021-11-04,11.833333333333334,3.716666666666667,1.1333333333333333,0,0,0,6,3,0,0,0,0,5,1,0,0,0,0,2,0,0,1,0,0,10,0,0,3,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,11,5,2,19,0,0,1,0,1,8,4,2,15,0,0,1,0,0,6,1,1,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,5,0,0
2021020168,2021-11-06,10.9,1.0833333333333333,2.2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,10,2,1,10,1,5,4,0,1,6,2,1,7,0,4,4,0,1,5,1,1,5,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
