gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2013020012,2013-10-03,12.183333333333334,2.8666666666666667,1.35,0,0,0,9,2,1,1,0,0,11,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,8,3,0,14,2,0,3,0,0,6,0,0,14,2,0,3,0,0,4,0,0,12,2,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2013020028,2013-10-05,11.516666666666667,1.4833333333333334,1.0333333333333334,0,0,0,5,0,2,0,1,0,4,2,0,0,0,0,5,0,0,2,1,0,8,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,18,0,0,7,1,1,5,0,0,14,0,0,5,1,1,3,0,0,10,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2013020062,2013-10-11,9.283333333333333,3.1,1.35,0,0,0,5,2,1,0,0,0,4,2,0,1,0,0,5,0,1,1,1,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,7,8,1,8,2,1,0,3,1,5,7,1,8,2,1,0,3,1,4,4,1,5,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0
2013020072,2013-10-12,12.016666666666667,2.8666666666666667,1.1833333333333333,0,0,0,6,1,0,1,0,0,6,3,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,5,5,0,12,1,4,0,1,0,5,5,0,10,1,3,0,1,0,2,5,0,7,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2013020092,2013-10-15,12.75,4.85,0,1,0,0,9,5,0,1,0,0,11,1,0,2,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,4,0,12,13,0,10,0,0,4,2,0,9,7,0,6,0,0,4,2,0,6,7,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0
2013020106,2013-10-17,13.683333333333334,3.15,2.1333333333333333,1,0,0,8,0,1,2,0,0,5,2,0,2,0,0,5,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,4,3,0,14,8,1,18,0,1,4,3,0,9,6,1,11,0,1,3,3,0,5,3,1,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0
2013020122,2013-10-19,13.65,5.016666666666667,0.48333333333333334,1,1,0,5,4,0,0,1,0,6,2,0,5,0,0,7,2,1,1,1,0,5,2,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,3,0,0,10,6,0,24,1,0,2,0,0,9,5,0,19,1,0,2,0,0,6,3,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0
2013020125,2013-10-20,12.683333333333334,2.9,3.4166666666666665,0,0,1,11,3,2,1,0,0,6,2,1,1,0,0,5,0,0,3,0,0,9,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,13,6,0,17,1,7,3,0,0,8,5,0,14,1,7,3,0,0,6,5,0,11,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2013020146,2013-10-24,11.15,1.3,1.1666666666666667,1,0,0,3,1,1,1,0,0,5,1,1,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,5,1,0,10,5,0,11,0,0,5,1,0,9,5,0,9,0,0,4,1,0,7,3,0,8,0,0,2,0,0,3,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2013020161,2013-10-26,14.85,3.9,1.2666666666666666,0,0,0,11,2,0,1,0,0,9,0,0,4,0,0,10,0,0,2,0,0,10,0,0,0,0,0,1,0,0,1,0,0,4,2,0,2,0,0,0,0,0,3,0,0,10,3,1,13,1,3,1,0,0,7,2,1,11,0,3,0,0,0,5,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
