gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2025020016,2025-10-09,13.366666666666667,0,0.8166666666666667,11,0,1,13,0,1,2,0,0,3,0,0,1,0,1,4,0,2,0,0,0,7,0,0,2,0,0,3,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,7,0,0,16,0,1,1,0,0,5,0,0,12,0,0,1,0,0,4,0,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2025020032,2025-10-11,11.933333333333334,0.5166666666666667,2.433333333333333,3,2,2,5,2,4,2,1,0,5,1,0,3,0,0,9,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,5,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,9,0,2,9,0,4,3,0,0,5,0,0,8,0,2,3,0,0,4,0,0,6,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0
2025020041,2025-10-13,11.383333333333333,1.0666666666666667,1.5666666666666667,5,0,0,6,0,0,11,1,0,14,3,0,2,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,10,1,1,18,0,0,0,0,0,5,1,1,12,0,0,0,0,0,5,1,1,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
2025020049,2025-10-14,13.516666666666667,1.7166666666666666,2.25,3,1,0,3,2,0,6,0,1,6,0,1,1,0,0,2,0,0,1,0,0,5,1,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,12,0,4,1,0,0,6,1,0,9,0,4,1,0,0,5,1,0,6,0,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025020062,2025-10-16,14.366666666666667,0.4166666666666667,2.3,3,1,1,4,1,1,4,0,1,4,0,1,2,0,0,4,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,1,21,0,1,2,0,0,6,0,1,17,0,1,1,0,0,4,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2025020084,2025-10-18,9.616666666666667,3.05,2.9,3,1,0,5,1,0,3,2,1,3,3,1,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,11,6,0,8,0,6,2,1,0,8,6,0,8,0,4,1,0,0,6,3,0,6,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2025020105,2025-10-21,12.683333333333334,0.11666666666666667,3.4166666666666665,8,0,1,9,0,1,8,0,2,8,0,2,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,13,0,0,13,0,10,2,0,0,9,0,0,11,0,7,2,0,0,7,0,0,8,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,1,0,3
2025020118,2025-10-23,10.8,2.316666666666667,1.2333333333333334,6,2,1,7,2,1,2,0,0,3,0,0,2,0,0,4,1,0,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,4,0,2,2,0,0,11,0,0,11,1,2,0,0,0,5,0,0,6,1,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025020137,2025-10-25,14.566666666666666,0.8,1.9,9,0,0,9,0,1,6,0,0,7,0,0,1,0,0,5,0,0,0,0,0,2,0,0,1,0,0,4,0,1,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,8,0,1,29,0,2,0,0,0,4,0,1,20,0,1,0,0,0,4,0,0,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,6,0,1
2025020145,2025-10-26,12.2,0,1.9333333333333333,1,0,1,1,0,1,8,0,0,8,0,1,0,0,0,5,0,0,1,0,0,7,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,9,0,1,11,0,2,2,0,0,5,0,1,10,0,2,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
