gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2010020005,2010-10-07,12.116666666666667,2.716666666666667,2.25,0,0,0,5,3,1,0,0,0,5,1,1,1,0,0,8,1,0,3,0,1,7,0,1,0,0,1,1,0,2,1,1,0,2,1,1,0,0,0,0,0,0,2,4,0,16,7,0,10,1,3,1,3,0,11,4,0,6,1,3,1,2,0,6,2,0,5,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2010020025,2010-10-10,2.0833333333333335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010020075,2010-10-19,15.7,1.05,0.3,0,0,0,6,1,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,24,0,0,14,0,0,7,0,0,20,0,0,11,0,0,4,0,0,14,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2010020085,2010-10-21,14.366666666666667,4.616666666666666,0,0,0,0,4,3,0,1,0,0,8,1,0,3,0,0,12,2,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,13,11,0,16,0,0,0,4,0,6,11,0,11,0,0,0,3,0,4,7,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2010020093,2010-10-22,11.283333333333333,6.816666666666666,0.15,0,0,0,4,1,0,0,1,0,9,5,0,1,0,0,3,1,0,1,1,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,5,4,1,8,14,1,10,0,0,4,2,1,6,9,1,8,0,0,2,2,1,4,6,1,6,0,0,2,0,1,3,0,1,1,0,0,1,0,0,3,0,1,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,1,0,1,1,0,2,0,0
2010020113,2010-10-24,14.083333333333334,3.7,0.06666666666666667,0,0,0,4,1,0,0,0,0,9,3,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,4,2,0,10,6,0,10,1,0,3,2,0,7,4,0,7,1,0,3,2,0,5,2,0,5,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2010020120,2010-10-26,16.45,3.7333333333333334,0,0,0,0,8,1,0,0,0,0,8,2,0,0,0,0,6,0,0,1,0,0,6,0,0,1,0,0,2,0,0,1,0,0,4,1,0,0,0,0,2,0,0,5,3,0,13,8,0,14,1,0,4,3,0,10,7,0,9,1,0,3,2,0,8,5,0,7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2010020136,2010-10-28,13.783333333333333,3.55,0.21666666666666667,0,0,0,3,3,0,2,0,0,11,1,0,0,0,0,3,0,0,1,0,0,3,0,0,0,1,0,1,1,0,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,8,8,0,20,0,1,1,0,0,5,7,0,18,0,0,0,0,0,3,5,0,10,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2010020154,2010-10-30,12.733333333333333,4.416666666666667,0,0,0,0,4,6,0,0,0,0,10,2,0,1,0,0,3,0,0,1,0,0,5,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,3,0,7,6,0,11,0,0,2,2,0,6,4,0,10,0,0,2,2,0,4,3,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2010020170,2010-11-03,13.066666666666666,4.266666666666667,1.0666666666666667,0,0,0,3,1,0,0,0,0,6,1,0,1,0,0,7,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,0,0,0,0,0,1,1,0,5,3,0,13,2,1,1,1,0,5,3,0,11,2,0,0,1,0,3,2,0,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
