gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020005,2022-10-12,11.5,1.75,3.05,7,0,1,8,0,3,0,0,1,1,0,1,1,0,0,12,0,1,1,0,0,8,0,0,0,0,1,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,8,1,1,10,1,5,1,0,0,7,1,1,5,1,2,0,0,0,6,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2022020027,2022-10-15,12.233333333333333,1.25,3.4,3,0,0,3,1,1,8,0,0,9,0,2,2,0,0,8,0,1,0,0,0,6,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,10,3,0,12,0,4,3,0,0,8,3,0,6,0,3,2,0,0,7,2,0,4,0,2,1,0,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2022020041,2022-10-17,13.483333333333333,1.9,3.25,5,1,1,6,1,5,4,0,1,6,0,1,1,0,0,6,0,0,1,0,0,6,1,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,8,5,0,19,0,12,0,0,0,4,4,0,14,0,8,0,0,0,4,2,0,9,0,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,4,0,2
2022020049,2022-10-18,14.883333333333333,2.3333333333333335,1.4666666666666666,3,3,2,4,3,2,8,0,0,8,0,0,1,0,0,10,0,0,0,1,0,8,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,8,5,0,20,0,3,0,0,0,5,4,0,16,0,3,0,0,0,2,4,0,11,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0
2022020059,2022-10-20,9.366666666666667,3.3333333333333335,3.85,5,1,0,8,2,2,2,0,0,4,0,2,1,0,0,5,0,1,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,2,0,10,1,2,1,0,0,3,1,0,8,1,2,1,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022020074,2022-10-22,11.8,2.5833333333333335,3.55,1,2,2,4,2,3,5,0,0,6,0,0,0,0,0,8,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,20,6,3,9,0,5,2,1,1,13,5,3,5,0,4,2,1,0,11,4,2,4,0,2,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,2,0,1,0,1,0,1,0,3,2,0,1,0,1
2022020100,2022-10-25,15.366666666666667,1.4333333333333333,2.4166666666666665,8,1,0,8,1,0,6,0,0,6,0,2,1,0,0,5,0,0,2,0,0,11,0,1,0,0,0,1,0,1,0,0,0,4,1,0,2,0,0,0,0,0,7,0,0,15,1,0,15,0,1,6,0,0,13,1,0,11,0,1,4,0,0,9,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2022020111,2022-10-27,10.216666666666667,2.066666666666667,3.4,1,0,1,1,0,1,5,1,2,5,1,3,1,0,0,4,0,2,2,0,0,7,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,4,0,0,11,2,0,11,1,5,4,0,0,11,1,0,8,1,5,3,0,0,9,1,0,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,2,0,1,1,0,0,2,0,0,2,0,1
2022020122,2022-10-28,12.55,1.25,2.533333333333333,7,1,0,8,1,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,11,4,2,11,1,5,2,1,1,10,3,2,9,1,5,2,1,1,8,2,2,7,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,2,0,1
2022020147,2022-11-01,13.65,1.5333333333333334,3.6333333333333333,7,0,1,10,1,2,4,0,1,7,0,1,0,0,0,7,0,0,2,0,0,15,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,9,4,0,23,0,6,2,0,0,5,3,0,17,0,5,2,0,0,4,3,0,13,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0
