gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2021020012,2021-10-14,14.65,5.45,0,0,0,0,7,2,0,0,0,0,6,3,0,0,0,0,5,0,0,3,0,0,9,1,0,0,1,0,2,1,0,1,0,0,2,1,0,0,0,0,2,0,0,6,4,0,26,15,0,11,1,0,3,4,0,20,12,0,10,1,0,2,2,0,12,8,0,6,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021020029,2021-10-16,10.683333333333334,4.483333333333333,0,0,0,0,7,2,0,0,0,0,6,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,7,1,0,10,5,0,10,2,0,7,0,0,10,3,0,8,2,0,7,0,0,10,3,0,6,2,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2021020052,2021-10-21,14.15,1.1833333333333333,0,0,0,0,6,2,0,0,0,0,8,0,0,0,0,0,9,0,0,1,1,0,3,1,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,4,0,0,6,1,0,15,3,0,17,0,0,6,1,0,14,2,0,15,0,0,6,1,0,11,2,0,12,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0
2021020073,2021-10-23,11.083333333333334,3.966666666666667,0,0,0,0,4,3,0,0,0,0,6,2,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1,0,10,4,0,10,4,0,2,1,0,8,4,0,5,4,0,2,1,0,5,4,0,3,3,0,0,0,0,1,2,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
2021020087,2021-10-25,13.45,3.1,0.2,0,0,0,6,2,0,0,0,0,4,2,0,3,0,0,4,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,1,0,15,4,0,12,2,0,3,0,0,13,3,0,11,2,0,3,0,0,10,2,0,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0
2021020104,2021-10-28,10.016666666666667,3.7666666666666666,0,0,0,0,6,2,0,1,0,0,5,1,0,4,0,0,7,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,3,2,0,8,5,0,19,0,0,3,1,0,6,4,0,14,0,0,1,1,0,1,1,0,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0
2021020114,2021-10-29,8.083333333333334,4.016666666666667,0,0,0,0,6,2,0,0,0,0,6,1,0,1,0,0,4,1,0,1,0,0,5,1,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,4,2,0,2,1,0,9,9,0,7,0,0,2,1,0,8,7,0,7,0,0,2,0,0,7,6,0,3,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021020128,2021-10-31,12.583333333333334,4.75,0,0,0,0,9,2,0,1,0,0,8,2,0,1,0,0,5,0,0,2,0,0,4,0,0,1,0,0,2,1,0,1,0,0,3,1,0,4,0,0,0,0,0,2,3,0,15,11,0,4,0,0,2,3,0,12,8,0,3,0,0,1,2,0,10,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2021020144,2021-11-03,12.533333333333333,3.533333333333333,0,0,0,0,10,2,0,0,0,0,7,1,0,1,0,0,5,0,0,0,1,0,4,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,19,10,0,13,1,0,2,2,0,12,7,0,9,1,0,2,1,0,9,6,0,8,1,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,0,0,3,0,0,1,0,0,3,0,0,3,0,0
2021020166,2021-11-06,12.7,5.416666666666667,0,0,0,0,9,5,0,0,0,0,3,1,0,3,0,0,15,2,0,1,0,0,5,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,2,0,5,3,0,24,9,0,12,3,0,4,2,0,12,6,0,10,3,0,3,1,0,8,4,0,4,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0,2,0,0,1,0,0,4,0,0,2,0,0
