gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2019020014,2019-10-04,15.466666666666667,0.9166666666666666,0,0,0,0,3,0,0,1,0,0,7,1,0,2,0,0,5,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,9,1,0,21,0,0,1,0,0,6,1,0,17,0,0,0,0,0,3,1,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
2019020033,2019-10-06,15.983333333333333,0.8833333333333333,0,0,0,0,5,0,0,1,0,0,4,0,0,1,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17,1,0,15,0,0,4,0,0,16,1,0,11,0,0,2,0,0,10,1,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019020037,2019-10-08,15.85,2.1666666666666665,0,0,0,0,11,1,0,0,0,0,3,1,0,0,0,0,7,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,2,0,17,0,0,3,0,0,15,1,0,11,0,0,3,0,0,12,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2019020060,2019-10-11,16.8,4.066666666666666,0,0,0,0,9,3,0,1,0,0,12,2,0,0,0,0,3,0,0,2,0,0,7,1,0,1,0,0,3,1,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,2,0,6,2,0,24,8,0,20,0,0,3,2,0,13,5,0,16,0,0,1,2,0,5,5,0,12,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,4,0,0,1,1,0,2,1,0,3,0,0,0,0,0,2,1,0,3,0,0
2019020067,2019-10-12,18.366666666666667,1.2,0,0,0,0,4,1,0,0,0,0,8,0,0,0,0,0,6,0,0,3,0,0,10,0,0,0,0,0,4,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,0,0,22,2,0,19,1,0,5,0,0,17,1,0,13,0,0,3,0,0,11,0,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2019020252,2019-11-09,13.233333333333333,1.55,0,0,0,0,4,2,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,2,0,0,2,0,0,6,0,0,3,2,0,19,2,0,22,0,0,3,1,0,15,1,0,15,0,0,3,1,0,10,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2019020282,2019-11-13,13.65,1.7833333333333334,0,0,0,0,6,0,0,0,0,0,5,1,0,0,0,0,6,0,0,1,0,0,3,0,0,1,0,0,2,0,0,1,1,0,6,2,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,14,1,0,15,1,0,1,0,0,11,0,0,9,0,0,1,0,0,8,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2019020307,2019-11-16,11.716666666666667,2.85,0,0,0,0,4,1,0,0,0,0,4,3,0,0,0,0,3,0,0,1,0,0,6,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,2,0,6,6,0,16,0,0,2,1,0,6,2,0,13,0,0,0,1,0,4,2,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,4,0,1,0,0
2019020321,2019-11-19,12.916666666666666,2.6166666666666667,0,0,0,0,1,0,4,0,0,0,6,0,3,0,0,1,3,0,6,1,0,3,7,0,5,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,2,4,0,1,16,1,12,5,0,0,4,0,1,14,1,9,2,0,0,4,0,1,12,1,6,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0
2019020335,2019-11-21,14.833333333333334,3.5,0,0,0,0,6,3,0,0,0,0,7,1,0,0,0,0,10,1,0,1,0,0,4,1,0,1,0,0,4,0,0,2,1,0,12,3,0,0,0,0,2,0,2,0,0,0,4,0,0,1,0,0,8,2,0,10,0,0,1,0,0,7,1,0,8,0,0,0,0,0,5,1,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
