gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2013020014,2013-10-03,12.616666666666667,7.5,0.18333333333333332,1,2,0,5,4,0,6,2,0,10,3,0,1,0,0,4,0,0,0,1,0,4,2,0,1,0,0,3,0,0,1,0,0,5,0,0,0,2,0,8,2,0,0,0,0,2,0,0,2,3,0,19,18,0,16,3,0,2,2,0,10,14,0,15,0,0,1,1,0,7,9,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2013020031,2013-10-05,14.65,4.166666666666667,0.16666666666666666,7,3,1,9,5,1,9,1,0,10,4,0,0,0,0,7,0,0,0,0,0,9,2,0,0,0,0,1,0,0,2,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,17,11,0,7,2,0,1,1,0,15,9,0,5,0,0,1,1,0,8,8,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0
2013020044,2013-10-08,10.066666666666666,0,1.0833333333333333,3,0,2,4,0,2,5,0,1,8,0,1,0,0,0,4,0,1,0,0,0,5,0,0,0,0,0,3,0,0,1,0,1,2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,1,0,0,0,12,0,0,3,0,1,0,0,0,7,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013020056,2013-10-10,14.583333333333334,4.016666666666667,0.43333333333333335,5,1,0,7,2,0,3,1,2,4,2,2,1,0,0,6,0,0,1,0,0,6,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,23,3,0,5,3,1,2,0,0,18,1,0,4,2,1,1,0,0,11,1,0,4,2,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0
2013020074,2013-10-12,13.85,5.4,0.9666666666666667,6,3,0,9,6,0,4,3,0,6,3,1,0,0,0,9,0,0,0,0,0,3,2,0,2,0,1,4,1,1,1,0,0,3,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,24,17,1,10,1,1,1,1,0,21,15,1,7,0,1,1,1,0,17,13,0,3,0,1,0,0,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,6,4,0,0,0,0,0,0,0,6,4,0,0,0,0
2013020089,2013-10-15,14.25,5.133333333333334,0,6,2,0,10,4,0,7,2,0,11,3,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,3,1,0,11,20,0,11,0,0,3,1,0,10,15,0,9,0,0,1,0,0,7,12,0,7,0,0,1,0,0,2,3,0,1,0,0,1,0,0,2,3,0,1,0,0,0,2,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,2,0,1,0,0
2013020106,2013-10-17,14.55,4.566666666666666,0.7166666666666667,8,2,2,12,4,2,5,3,0,6,3,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,2,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,29,12,0,11,2,1,1,0,0,23,7,0,8,2,1,1,0,0,14,6,0,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,2,0,2,0,0
2013020121,2013-10-19,8.683333333333334,7.333333333333333,0.5166666666666667,6,2,1,10,6,1,2,3,0,2,6,0,1,0,0,2,1,0,0,0,0,2,1,0,1,0,0,4,0,0,0,1,0,1,2,0,0,0,0,6,0,0,0,0,0,2,2,0,1,2,0,14,16,1,6,3,0,1,2,0,9,15,1,4,3,0,0,1,0,6,11,0,2,3,0,0,0,0,1,3,0,0,1,0,1,0,0,1,3,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0
2013020126,2013-10-21,16.45,3.6333333333333333,0.05,6,1,1,11,3,1,8,0,0,13,3,0,2,0,0,4,0,0,2,0,0,9,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,10,9,0,11,0,0,1,0,0,10,2,0,8,0,0,1,0,0,9,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2013020139,2013-10-24,15.966666666666667,1.3166666666666667,0,3,0,0,3,0,0,9,0,0,10,1,0,1,0,0,8,0,0,2,0,0,12,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,16,4,0,11,1,0,0,0,0,11,3,0,8,1,0,0,0,0,10,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
