gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020023,2022-10-14,19.533333333333335,1.4,1.55,0,0,0,9,1,0,0,0,0,12,0,0,2,0,0,8,0,0,0,0,0,8,0,0,1,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,27,1,0,19,1,6,3,1,0,20,1,0,13,1,5,3,1,0,13,1,0,9,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3
2022020046,2022-10-17,16.316666666666666,4,1.9,0,0,0,5,1,1,0,0,0,8,1,0,1,0,0,4,0,0,1,0,0,1,2,0,1,0,0,4,0,0,0,0,0,1,2,1,4,0,0,6,0,0,0,0,0,0,0,0,4,1,0,18,3,0,20,0,1,2,1,0,11,2,0,16,0,1,1,1,0,5,1,0,10,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0
2022020057,2022-10-19,21.833333333333332,1.25,0,0,0,0,8,0,0,0,0,0,10,0,0,3,1,0,11,1,0,2,0,0,15,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,3,1,0,12,2,0,33,0,0,3,0,0,11,1,0,22,0,0,3,0,0,10,1,0,18,0,0,2,0,0,2,1,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0
2022020070,2022-10-20,20.833333333333332,0,0.4,0,0,0,10,0,0,0,0,0,11,0,0,4,0,0,15,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,22,0,1,19,0,0,3,0,0,18,0,1,15,0,0,3,0,0,13,0,0,11,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0
2022020082,2022-10-22,20.833333333333332,1.7666666666666666,0.6666666666666666,0,0,0,5,1,0,0,0,0,10,0,0,2,0,0,8,0,0,1,0,0,3,0,0,3,0,0,4,0,0,1,1,0,7,1,0,0,0,0,2,0,9,0,0,0,11,0,0,2,0,0,18,1,0,22,0,2,2,0,0,14,1,0,18,0,1,1,0,0,10,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0
2022020095,2022-10-24,18.083333333333332,3.05,0.15,0,0,0,5,2,0,0,0,0,8,1,0,5,0,0,9,0,0,3,0,0,7,0,0,0,0,0,1,0,0,2,0,0,3,0,0,2,0,0,4,0,0,0,0,0,4,0,0,9,1,0,25,8,0,23,0,0,5,1,0,20,6,0,16,0,0,5,1,0,17,3,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2022020120,2022-10-27,20.433333333333334,2.816666666666667,1.5166666666666666,0,0,0,7,0,1,0,0,0,13,4,1,1,0,0,7,0,0,2,0,1,11,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,4,0,0,3,0,0,12,3,1,35,3,1,2,0,0,10,2,1,25,2,1,0,0,0,3,2,0,22,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,1,0
2022020126,2022-10-28,16.366666666666667,3.8666666666666667,0.23333333333333334,0,0,0,8,2,0,0,0,0,11,3,1,1,0,0,3,0,0,6,0,0,13,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,14,6,0,10,1,1,2,0,0,11,5,0,9,1,1,1,0,0,10,3,0,4,1,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2022020143,2022-10-30,21.533333333333335,0.6166666666666667,1.7333333333333334,0,0,0,10,0,0,0,0,0,10,0,0,4,0,1,11,0,2,1,0,0,7,0,0,0,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,17,1,0,37,0,1,3,0,0,9,1,0,31,0,1,3,0,0,7,0,0,27,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9,0,0,1,0,0,1,0,0,9,0,0
2022020165,2022-11-03,18.016666666666666,2.966666666666667,0,0,0,0,6,1,0,0,0,0,7,0,0,3,0,0,17,0,0,0,0,0,4,0,0,0,0,0,1,1,0,2,1,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,19,9,0,13,2,0,3,0,0,15,6,0,12,2,0,2,0,0,11,2,0,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,2,1,0,0,0,0,0,2,0,2,1,0
