gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2023020027,2023-10-14,12.083333333333334,2.2,0,0,0,0,9,1,0,1,0,0,4,0,0,3,0,0,6,0,0,1,1,0,7,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,7,2,0,14,0,0,2,1,0,2,1,0,8,0,0,1,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023020043,2023-10-17,13.4,1.7166666666666666,0.06666666666666667,1,0,0,11,1,0,0,0,0,2,0,0,2,0,0,9,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,2,1,0,14,4,0,11,0,0,2,1,0,10,4,0,8,0,0,1,1,0,7,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023020064,2023-10-20,13.366666666666667,1.55,0,0,0,0,6,0,0,0,1,0,7,2,0,2,0,0,4,0,0,1,0,0,2,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,18,0,0,18,0,0,3,0,0,13,0,0,9,0,0,2,0,0,10,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,2,0,0,6,0,0,1,0,0
2023020067,2023-10-21,14.316666666666666,2.2666666666666666,0,0,0,0,2,3,0,0,0,0,10,1,0,5,0,0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,7,2,0,2,1,0,12,3,0,23,1,0,2,1,0,8,1,0,14,1,0,1,1,0,7,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,1,0,5,0,0
2023020090,2023-10-24,13.95,3.3833333333333333,0,0,0,0,5,1,0,0,0,0,5,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,5,2,0,20,9,0,17,0,0,4,1,0,17,6,0,14,0,0,3,0,0,12,4,0,10,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,2,3,0,1,0,0,0,1,0,2,3,0,1,0,0
2023020107,2023-10-26,13.566666666666666,1.95,0.2833333333333333,0,0,0,6,3,0,0,0,0,7,1,0,3,0,0,7,0,0,4,0,0,6,1,0,1,0,0,5,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,22,5,0,20,0,0,2,0,0,13,3,0,12,0,0,2,0,0,13,3,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,0
2023020120,2023-10-28,12.933333333333334,1.9666666666666666,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,15,3,0,21,0,0,4,0,0,12,2,0,14,0,0,2,0,0,7,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,0,0,5,0,0
2023020134,2023-10-30,14.05,1.1666666666666667,0,0,0,0,5,1,0,1,0,0,8,0,0,0,0,0,2,0,0,1,0,0,3,0,0,1,0,0,4,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,2,0,0,5,2,0,15,3,0,23,0,0,5,2,0,14,2,0,16,0,0,3,2,0,9,2,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,5,0,0,1,0,0,5,0,0,5,0,0
2023020150,2023-11-02,13.716666666666667,1.05,0,0,0,0,4,1,0,0,0,0,5,1,0,1,0,0,5,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,9,2,0,15,2,0,3,0,0,8,1,0,7,2,0,1,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023020167,2023-11-04,17,0,0,0,0,0,5,0,0,1,0,0,8,0,0,1,0,0,5,0,0,1,0,0,7,0,0,1,0,0,2,0,0,2,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,16,0,0,21,0,0,3,0,0,11,0,0,16,0,0,2,0,0,8,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
