gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2024020018,2024-10-10,13.133333333333333,0.7166666666666667,0.16666666666666666,6,0,0,7,0,0,3,0,1,3,0,1,0,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,8,1,0,17,1,1,2,1,0,7,1,0,10,1,0,0,1,0,3,1,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024020033,2024-10-12,16.733333333333334,0,0,6,0,0,10,0,0,8,0,0,8,0,0,3,0,0,7,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,19,0,0,10,0,0,4,0,0,14,0,0,8,0,0,4,0,0,13,0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024020038,2024-10-13,15.716666666666667,2.9833333333333334,0,5,1,0,5,1,0,4,2,0,4,2,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0,8,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,1,0,17,3,0,19,0,0,4,0,0,15,2,0,12,0,0,3,0,0,12,1,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2024020052,2024-10-15,13.333333333333334,3.316666666666667,0,7,0,0,7,2,0,5,0,0,5,1,0,0,0,0,3,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15,5,0,18,1,0,2,0,0,10,1,0,12,1,0,1,0,0,7,1,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,2,0,0,0,1,0,2,2,0,2,0,0
2024020083,2024-10-19,15.416666666666666,1.65,0,5,0,0,5,0,0,4,0,0,6,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,12,2,0,18,0,0,4,0,0,10,2,0,14,0,0,3,0,0,9,2,0,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,1,0,0,1,0,0,3,0,0,1,0,0
2024020093,2024-10-22,15.6,1.1,0,5,1,0,7,1,0,4,0,0,4,0,0,0,0,0,1,0,0,1,2,0,9,3,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,0,23,0,0,1,0,0,10,2,0,16,0,0,1,0,0,4,0,0,9,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2024020112,2024-10-24,16.533333333333335,0.7666666666666667,0,5,0,0,6,0,0,6,2,0,6,2,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,14,0,0,9,1,0,2,0,0,8,0,0,6,1,0,0,0,0,4,0,0,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024020123,2024-10-26,16.716666666666665,1.2833333333333334,0,2,0,0,3,0,0,4,0,0,6,1,0,0,0,0,1,1,0,3,0,0,9,0,0,1,0,0,2,0,0,1,0,0,4,0,0,0,0,0,4,0,0,2,0,0,4,0,0,3,0,0,15,0,0,12,0,0,1,0,0,6,0,0,10,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2024020153,2024-10-29,15.216666666666667,0.8,0,6,0,0,7,0,0,6,0,0,6,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,2,0,0,7,0,0,2,0,0,17,1,0,11,0,0,2,0,0,14,0,0,8,0,0,1,0,0,8,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2024020172,2024-11-01,15.066666666666666,1.4,0.1,7,1,1,7,1,1,4,0,0,5,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,2,0,0,4,2,0,16,5,0,6,0,0,4,1,0,13,4,0,4,0,0,2,0,0,7,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,2,0,0,0,0,2,1,0,3,2,0,0,0,0
