gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2014020015,2014-10-09,16.25,2.1333333333333333,0.9333333333333333,0,0,0,11,2,2,1,0,0,12,1,0,0,0,0,2,0,1,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,4,0,0,5,1,0,20,4,0,7,0,3,4,1,0,13,4,0,6,0,3,3,1,0,8,3,0,5,0,3,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2014020031,2014-10-11,16.016666666666666,3.15,0.05,0,0,0,11,2,0,0,0,0,15,1,0,3,0,0,6,0,0,5,0,0,13,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,4,0,0,4,0,0,6,0,0,4,5,0,13,8,0,18,0,0,2,4,0,10,6,0,14,0,0,2,3,0,8,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,0,1,1,0,2,0,0
2014020046,2014-10-14,13.816666666666666,2.75,0,0,0,0,7,2,0,0,0,0,9,2,0,1,0,0,6,0,0,6,1,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,13,4,0,11,0,0,4,0,0,9,1,0,11,0,0,3,0,0,6,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2014020049,2014-10-15,18.05,2.0166666666666666,0.15,0,0,0,8,0,0,0,0,0,11,3,0,0,1,0,10,1,0,1,0,0,6,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2,0,13,2,0,16,0,0,3,2,0,7,2,0,14,0,0,2,2,0,5,2,0,10,0,0,2,0,0,3,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020061,2014-10-17,13.416666666666666,5.466666666666667,0,0,0,0,11,3,0,0,0,0,5,3,0,1,0,0,7,0,0,1,0,0,5,2,0,0,0,0,2,1,0,2,1,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,11,9,0,13,0,0,2,2,0,4,5,0,11,0,0,2,2,0,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020078,2014-10-20,17.516666666666666,1.7333333333333334,0.16666666666666666,0,0,0,6,1,0,0,0,0,9,1,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,4,0,0,3,1,0,8,1,0,0,0,0,0,0,0,2,0,0,2,0,0,4,1,0,12,6,0,10,0,0,3,1,0,9,6,0,8,0,0,2,1,0,7,2,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014020091,2014-10-22,18.95,0.6833333333333333,0,0,0,0,7,2,0,0,0,0,11,0,0,0,0,0,5,0,0,3,0,0,12,0,0,2,0,0,4,0,0,0,0,0,5,0,0,2,0,0,2,0,0,0,0,0,2,0,0,3,1,0,9,2,0,22,0,0,1,1,0,6,2,0,14,0,0,1,1,0,4,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020104,2014-10-24,15.25,3.683333333333333,0,0,0,0,7,1,0,0,0,0,5,4,0,1,1,0,4,1,0,2,0,0,8,2,0,1,0,0,2,0,0,1,0,0,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,6,2,0,20,7,0,12,0,0,4,2,0,14,6,0,9,0,0,3,1,0,10,3,0,7,0,0,0,0,0,2,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0
2014020123,2014-10-27,13.166666666666666,4.783333333333333,0.08333333333333333,0,0,0,10,3,0,1,1,0,8,2,0,2,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,5,4,0,2,0,0,6,0,0,0,0,0,4,0,0,2,2,0,14,5,0,12,2,0,1,2,0,7,5,0,9,1,0,1,2,0,3,4,0,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0
2014020137,2014-10-29,18.816666666666666,2.4,0,0,0,0,10,5,0,0,0,0,7,0,0,2,0,0,2,0,0,3,0,0,13,0,0,0,0,0,4,0,0,2,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,22,9,0,15,0,0,3,1,0,11,6,0,10,0,0,3,0,0,8,3,0,9,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
