gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2014020006,2014-10-09,18.266666666666666,1.4,1.9333333333333333,0,0,0,5,0,2,0,0,0,3,0,0,4,0,0,13,0,0,2,0,0,14,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,19,0,0,16,0,1,0,0,0,14,0,0,13,0,1,0,0,0,7,0,0,10,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2014020022,2014-10-11,16.116666666666667,2.25,3.8333333333333335,0,0,0,5,1,0,0,0,0,4,0,2,1,0,0,8,0,0,5,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,0,2,0,0,2,4,0,2,0,1,0,5,4,0,18,0,2,0,1,0,4,4,0,16,0,2,0,0,0,4,2,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014020044,2014-10-14,15.383333333333333,2,2.9166666666666665,0,0,0,5,1,1,0,0,0,6,0,0,2,0,0,10,0,0,0,0,0,4,1,1,0,0,0,2,1,0,1,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,7,3,0,13,0,6,1,0,0,6,3,0,11,0,6,0,0,0,4,3,0,10,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1
2014020052,2014-10-16,13.433333333333334,2.4166666666666665,3.4166666666666665,0,0,0,7,2,2,0,0,0,7,0,1,0,0,0,6,0,0,2,1,0,8,2,0,0,1,0,1,1,1,1,0,0,2,0,0,0,0,0,2,0,0,2,0,0,6,0,0,1,0,0,5,4,1,8,1,4,1,0,0,3,3,1,8,1,3,1,0,0,1,2,1,7,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014020067,2014-10-18,14.583333333333334,2.966666666666667,1.15,0,0,0,10,2,1,0,0,0,11,1,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,1,10,5,2,14,0,1,2,0,1,10,4,2,12,0,1,2,0,1,9,2,2,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020080,2014-10-21,15.483333333333333,2.7,1,0,0,0,6,0,0,0,0,0,5,3,1,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,2,0,13,6,0,8,0,0,1,1,0,7,5,0,5,0,0,0,1,0,5,4,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2014020101,2014-10-24,17.9,0,1.2166666666666666,0,0,0,14,0,1,0,0,0,10,0,0,0,0,0,2,0,0,2,0,0,5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,14,0,1,16,0,0,0,0,0,11,0,1,15,0,0,0,0,0,9,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014020109,2014-10-25,13.366666666666667,3.533333333333333,4.1,0,0,0,5,0,2,0,0,0,4,4,2,0,0,0,3,0,0,2,0,0,8,1,0,2,0,0,4,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,3,0,11,0,10,0,0,0,7,3,0,8,0,6,0,0,0,6,2,0,7,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014020127,2014-10-28,12.9,1.4166666666666667,4.45,0,0,0,2,0,2,0,0,0,11,0,1,1,0,0,5,0,0,3,0,0,11,1,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,7,0,0,9,0,4,0,0,0,4,0,0,8,0,3,0,0,0,4,0,0,7,0,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2014020139,2014-10-30,22.416666666666668,0.5833333333333334,1.55,0,0,0,10,1,0,0,0,0,10,0,1,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,17,3,0,9,0,2,0,0,0,14,2,0,8,0,2,0,0,0,10,2,0,7,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
