gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2015020001,2015-10-07,12.566666666666666,0.9166666666666666,0.8666666666666667,0,1,1,7,1,1,0,0,0,3,0,0,2,0,0,8,0,0,2,0,0,6,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,4,0,0,15,3,0,10,0,3,4,0,0,12,3,0,9,0,3,0,0,0,6,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015020018,2015-10-10,10.1,2.566666666666667,1.8166666666666667,2,2,1,3,2,2,0,1,2,3,3,2,1,0,0,3,0,1,1,0,0,7,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,11,2,1,9,2,2,4,0,0,8,2,1,7,1,2,4,0,0,7,2,1,6,0,1,2,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2015020031,2015-10-11,10.316666666666666,3.2,1.7333333333333334,2,1,0,4,1,0,0,3,0,5,4,2,1,0,0,2,1,1,3,0,0,10,2,0,2,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,10,6,1,12,2,6,1,1,0,8,4,1,6,2,5,1,1,0,4,2,1,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2015020039,2015-10-13,13.216666666666667,0,0.85,1,0,0,3,0,0,1,0,1,6,0,1,1,0,0,5,0,0,1,0,0,10,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,13,0,0,10,0,1,3,0,0,9,0,0,9,0,1,2,0,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020053,2015-10-15,12.933333333333334,0.9,0.6666666666666666,1,0,0,10,1,1,3,0,0,10,0,0,5,0,0,6,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,16,0,0,13,0,1,6,0,0,12,0,0,7,0,1,2,0,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020065,2015-10-17,13.05,0,2.933333333333333,0,0,0,7,0,1,3,0,0,7,0,0,1,0,0,4,0,1,1,0,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,18,0,0,6,0,3,3,0,0,13,0,0,5,0,0,3,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2015020085,2015-10-20,12.566666666666666,1.15,1.1666666666666667,1,0,1,12,1,2,1,0,1,7,0,1,1,0,0,3,0,0,2,0,0,11,1,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,1,1,12,1,3,16,0,2,2,1,1,12,1,3,12,0,1,2,0,1,8,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2015020100,2015-10-23,12.366666666666667,0,0.55,0,0,0,8,0,0,0,0,1,5,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,2,16,0,1,4,0,0,9,0,1,14,0,1,3,0,0,7,0,1,11,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020108,2015-10-24,12.366666666666667,0,1.3333333333333333,0,0,0,5,0,0,0,0,1,5,0,1,2,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,6,0,2,2,0,0,2,0,0,3,0,0,14,0,0,18,0,4,3,0,0,10,0,0,17,0,4,2,0,0,8,0,0,8,0,3,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2015020133,2015-10-27,12.866666666666667,0.26666666666666666,0.9,1,0,0,5,0,1,0,0,1,7,0,2,0,0,0,1,0,0,2,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,3,0,0,0,5,0,0,6,0,2,0,0,0,4,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
