gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2020020042,2021-01-18,13.133333333333333,5.383333333333334,0,4,0,0,5,5,0,4,0,0,4,1,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,7,9,0,11,2,0,1,0,0,5,8,0,9,2,0,0,0,0,2,5,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020020057,2021-01-20,13.683333333333334,6.3,0,4,0,0,6,3,0,6,1,0,7,3,0,2,0,0,6,0,0,2,0,0,12,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,10,14,0,16,0,0,2,2,0,8,13,0,13,0,0,0,2,0,3,8,0,11,0,0,0,0,0,1,3,0,2,0,0,1,1,0,1,3,0,2,0,0,0,1,0,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
2020020065,2021-01-21,11.4,4.783333333333333,0.18333333333333332,2,0,0,7,6,0,3,0,0,5,0,1,4,0,0,6,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,1,0,7,5,0,12,2,0,0,1,0,6,4,0,9,2,0,0,1,0,4,3,0,7,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2020020080,2021-01-23,15.566666666666666,4.583333333333333,0,4,0,0,9,1,0,4,1,0,4,2,0,4,0,0,8,0,0,0,0,0,5,0,0,1,0,0,5,0,0,2,0,0,4,1,0,0,0,0,0,0,0,2,2,0,9,7,0,19,3,0,2,1,0,7,5,0,13,3,0,0,1,0,3,4,0,10,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020020092,2021-01-25,15.416666666666666,2,0,7,0,0,10,0,0,6,0,0,6,1,0,5,0,0,8,0,0,1,1,0,4,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,2,0,0,11,4,0,16,1,0,2,0,0,10,2,0,14,0,0,2,0,0,8,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020020108,2021-01-27,13.783333333333333,5.216666666666667,0,1,0,0,4,4,0,1,0,0,5,0,0,4,0,0,5,0,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,5,1,0,14,13,0,11,2,0,4,1,0,12,12,0,11,2,0,3,1,0,8,7,0,8,1,0,2,0,0,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
2020020117,2021-01-28,11.2,6.383333333333334,0,1,0,0,1,2,0,1,0,0,1,3,0,3,1,0,3,1,0,2,0,0,6,0,0,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,7,9,0,16,1,0,1,1,0,5,6,0,11,1,0,0,0,0,2,2,0,6,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020020132,2021-01-30,17.766666666666666,3.533333333333333,0,6,0,0,12,1,0,2,1,0,7,2,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,2,1,0,12,7,0,14,0,0,2,1,0,11,6,0,12,0,0,2,0,0,11,2,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020020147,2021-02-01,13.033333333333333,4.2,1.3166666666666667,0,0,1,5,4,3,0,0,0,6,2,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,5,9,0,20,0,0,0,1,0,4,8,0,20,0,0,0,0,0,4,5,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020020155,2021-02-02,19.45,3.316666666666667,0.75,0,0,1,12,2,1,0,0,0,10,4,0,6,0,0,6,1,0,0,0,0,8,1,0,0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,6,1,0,20,6,0,18,1,1,5,1,0,17,6,0,12,1,1,4,0,0,15,5,0,10,0,0,0,0,0,2,1,0,3,0,0,0,1,0,2,1,0,3,0,0,0,0,0,2,1,0,2,0,0,3,0,0,4,0,0,2,0,0,1,0,0,4,0,0,1,0,0,0,0,0,4,0,0,1,0,0
