gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2015020016,2015-10-09,12.416666666666666,3,0,0,0,0,6,2,0,0,0,0,8,1,0,3,1,0,7,1,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,2,2,0,0,1,0,3,6,0,24,0,0,0,1,0,3,4,0,21,0,0,0,0,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020029,2015-10-10,13.65,3.8,1.15,0,0,0,5,2,0,0,0,0,8,3,0,1,0,0,3,1,1,1,0,0,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,0,0,2,0,0,13,9,0,12,0,0,2,0,0,8,6,0,11,0,0,2,0,0,4,5,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0
2015020049,2015-10-14,9.883333333333333,4.483333333333333,0.36666666666666664,0,0,0,5,2,0,0,0,0,9,1,0,2,0,0,5,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,5,2,0,0,0,0,2,5,0,2,0,0,6,5,0,8,2,0,2,0,0,3,3,0,7,2,0,2,0,0,3,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015020057,2015-10-15,7.8,5.416666666666667,2.5833333333333335,0,1,0,6,4,1,0,0,0,4,1,2,1,1,2,1,3,2,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,12,0,2,0,0,8,4,0,4,2,2,2,0,0,6,3,0,3,2,2,2,0,0,5,1,0,3,2,2,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2015020074,2015-10-17,12.366666666666667,3.1333333333333333,0,0,0,0,2,2,0,0,0,0,4,3,0,2,1,0,4,1,0,1,0,0,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,2,0,4,7,0,5,0,0,17,4,0,10,3,0,4,0,0,12,4,0,8,3,0,3,0,0,8,2,0,6,3,0,1,0,0,2,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,2,0,0,1,0,0,2,0,0,3,1,0,0,0,0,1,0,0,3,1,0,0,0,0
2015020081,2015-10-20,12.383333333333333,4.633333333333334,0.7666666666666667,0,0,0,9,5,0,0,0,0,7,2,0,0,0,1,2,0,1,1,0,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,1,1,0,8,8,1,8,1,0,1,1,0,7,5,1,7,1,0,1,1,0,6,3,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020092,2015-10-22,15.25,2.8333333333333335,1.6,0,0,0,6,2,0,0,0,0,7,0,0,2,0,0,4,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,16,3,0,18,0,4,3,1,0,15,2,0,11,0,3,3,1,0,10,2,0,10,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020109,2015-10-24,16.5,1.65,0.9166666666666666,1,0,0,10,0,0,1,1,0,10,1,0,1,0,0,5,0,0,0,0,0,8,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,17,2,0,20,1,0,2,0,0,11,2,0,17,0,0,1,0,0,8,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
2015020122,2015-10-26,14.983333333333333,2.716666666666667,0,0,1,0,8,2,0,0,0,0,7,0,0,0,1,0,8,2,0,2,0,0,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,8,4,0,20,1,0,3,2,0,7,4,0,16,1,0,3,2,0,4,4,0,8,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2015020124,2015-10-27,14.133333333333333,2.1,1.8333333333333333,0,0,0,8,1,1,0,2,0,9,3,0,2,0,0,8,0,1,0,0,0,2,0,0,1,0,0,4,0,1,1,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,14,2,0,10,0,3,0,1,0,9,1,0,8,0,3,0,1,0,7,1,0,7,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
