gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2020020016,2021-01-14,13.383333333333333,7.566666666666666,0.23333333333333334,1,2,0,2,2,1,1,8,0,10,9,0,0,0,0,5,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,11,15,0,14,0,0,1,2,0,8,13,0,13,0,0,1,1,0,5,9,0,12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2020020032,2021-01-16,11.333333333333334,4.066666666666666,0.43333333333333335,3,2,0,6,3,1,0,1,0,5,1,0,1,0,0,4,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,4,4,0,2,2,0,15,6,0,9,2,1,2,1,0,11,5,0,7,2,1,2,1,0,8,4,0,7,2,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,3,1,0,1,0,0
2020020045,2021-01-18,11.766666666666667,6.266666666666667,0.05,3,0,0,7,3,0,3,0,1,3,1,1,0,0,0,3,0,0,3,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,3,0,19,12,0,10,0,0,2,3,0,13,9,0,9,0,0,2,3,0,10,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,5,0,0,0,0,0
2020020059,2021-01-20,12.783333333333333,4.8,0,0,3,0,1,3,0,1,1,0,7,1,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,3,0,8,9,0,18,1,0,0,3,0,4,7,0,13,1,0,0,3,0,1,6,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2020020071,2021-01-22,13.166666666666666,3.2333333333333334,0.13333333333333333,2,0,0,5,0,0,1,4,0,6,4,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,11,3,0,14,3,0,3,0,0,8,2,0,8,2,0,3,0,0,5,2,0,6,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020020088,2021-01-24,15.15,3.4,0.21666666666666667,3,2,0,9,2,0,3,2,0,9,2,0,1,0,0,4,0,0,3,0,0,7,1,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,2,0,0,5,1,0,14,4,0,21,3,1,5,1,0,12,4,0,14,3,1,4,1,0,10,3,0,12,2,1,1,0,0,1,1,0,3,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,2,1,0
2020020102,2021-01-26,15.4,4.5,0.8666666666666667,1,1,0,6,2,0,1,4,0,5,4,1,0,0,0,7,0,1,1,0,0,2,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,21,8,0,13,0,0,4,2,0,16,6,0,12,0,0,4,1,0,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020020118,2021-01-28,11.516666666666667,4.333333333333333,0.5166666666666667,0,2,0,2,3,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,6,2,0,0,0,0,14,7,0,0,1,0,7,3,0,9,1,0,0,1,0,7,3,0,6,1,0,0,1,0,4,3,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020020134,2021-01-30,14.3,2.3833333333333333,1.4,0,0,0,6,1,1,1,1,0,6,1,1,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,8,0,0,1,0,0,3,1,0,14,0,0,1,0,0,2,1,0,9,0,0,1,0,0,2,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020020142,2021-01-31,12.15,2.1,2.3666666666666667,0,0,0,5,1,1,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,8,2,0,17,0,1,1,0,0,8,0,0,12,0,1,1,0,0,8,0,0,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
