gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2025020011,2025-10-09,13.683333333333334,5.333333333333333,0.03333333333333333,4,0,0,5,3,0,6,0,0,8,3,0,1,0,0,10,1,0,2,1,0,8,3,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,4,0,0,6,1,0,22,7,0,18,0,0,2,1,0,13,4,0,12,0,0,2,1,0,10,4,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,3,0,0,0,1,0,1,1,0,3,0,0
2025020027,2025-10-11,13.1,2.75,2.9833333333333334,9,0,0,11,3,1,2,0,0,3,0,0,3,0,0,11,0,2,1,0,0,5,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,5,1,10,0,6,1,1,1,5,5,1,7,0,6,1,1,0,4,4,0,5,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,2,0,0
2025020041,2025-10-13,15.716666666666667,4.416666666666667,2.3833333333333333,9,2,0,21,6,3,3,0,0,4,0,2,2,0,1,9,2,2,1,1,0,6,1,0,0,0,0,0,0,0,3,0,0,7,1,0,2,0,0,2,2,0,0,0,0,6,2,0,8,3,0,25,11,0,17,0,7,4,2,0,18,8,0,12,0,6,4,2,0,11,7,0,9,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,1,1,0,0,2,0,0,1,0,1
2025020057,2025-10-15,16.183333333333334,4.5,0.5166666666666667,6,2,0,10,6,0,2,0,1,2,1,1,1,0,0,11,0,0,3,0,0,12,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,2,0,0,7,3,0,25,12,0,10,2,1,6,1,0,17,8,0,7,2,1,4,1,0,11,6,0,6,2,1,1,0,0,1,1,0,2,1,1,0,0,0,1,1,0,2,1,1,0,0,0,1,1,0,2,1,1,1,0,0,3,1,0,2,0,0,1,0,0,2,1,0,3,0,0,1,0,0,2,1,0,3,0,0
2025020063,2025-10-16,20.466666666666665,2.316666666666667,1.8333333333333333,3,0,0,5,3,0,0,0,0,4,0,1,1,0,0,5,0,0,1,0,0,6,0,0,0,0,0,2,0,0,2,1,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,2,0,26,6,0,23,0,6,2,0,0,16,3,0,15,0,4,2,0,0,9,1,0,14,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,5,0,1,1,0,0,2,0,0,4,0,1
2025020077,2025-10-18,15.783333333333333,2.6333333333333333,0.9166666666666666,3,1,0,7,1,0,2,0,0,6,1,0,1,0,0,10,0,0,2,0,0,7,0,0,1,0,0,3,0,0,1,0,0,8,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,20,2,0,16,1,0,3,0,0,11,2,0,14,1,0,3,0,0,10,1,0,7,1,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,4,0,0,3,0,0,1,0,0,4,0,0,3,0,0
2025020099,2025-10-21,15.416666666666666,3.6333333333333333,1,7,2,0,10,5,0,1,0,0,6,0,0,1,0,0,8,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,2,0,0,4,0,0,4,0,0,4,0,0,6,0,0,0,1,0,9,6,0,14,3,1,0,0,0,4,3,0,10,3,0,0,0,0,2,3,0,7,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2025020112,2025-10-23,12.416666666666666,4.883333333333334,1.4666666666666666,0,0,0,1,2,0,3,2,0,5,3,0,0,0,0,4,0,0,1,0,0,5,0,0,0,0,0,2,0,0,3,0,0,4,1,0,0,0,2,2,0,2,0,0,0,4,0,0,2,2,0,10,4,0,10,3,1,1,2,0,5,3,0,7,2,1,1,2,0,5,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2025020135,2025-10-25,9.783333333333333,3.7,0.8833333333333333,6,0,0,6,0,1,2,2,0,2,3,0,1,0,0,4,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,8,5,1,11,0,0,2,0,1,6,5,1,7,0,0,1,0,1,4,5,1,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0
2025020149,2025-10-27,13.966666666666667,1.9166666666666667,0.8166666666666667,1,0,0,1,2,0,5,0,0,8,1,0,0,0,0,4,0,0,3,0,1,6,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,2,1,13,4,1,18,1,0,2,2,1,11,3,1,13,1,0,2,2,1,7,3,1,9,1,0,0,2,0,1,3,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,0
