gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2018020005,2018-10-04,14.9,2.1166666666666667,0,4,0,0,11,1,0,1,0,0,5,1,0,0,0,0,10,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,17,3,0,14,2,0,2,1,0,13,2,0,12,1,0,1,1,0,9,1,0,10,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2018020017,2018-10-06,11.716666666666667,2.0833333333333335,0,0,0,0,6,0,0,0,0,0,3,1,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,0,5,0,0,16,4,0,8,1,0,4,0,0,12,3,0,7,1,0,4,0,0,5,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020034,2018-10-08,17.6,0.8,0,0,0,0,7,0,0,0,0,0,9,1,0,1,0,0,5,1,0,0,0,0,10,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,8,0,0,17,1,0,1,0,0,7,0,0,11,1,0,0,0,0,2,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020046,2018-10-11,13.6,3.6333333333333333,0,0,0,0,8,3,0,0,0,0,3,1,0,0,0,0,3,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,6,2,0,0,0,0,2,0,0,2,1,0,16,4,0,11,2,0,1,1,0,14,3,0,11,2,0,1,1,0,8,3,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018020069,2018-10-13,11.283333333333333,1.5833333333333333,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,1,0,0,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,1,0,15,3,0,11,0,0,3,1,0,10,2,0,7,0,0,3,1,0,9,1,0,5,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018020085,2018-10-16,11.866666666666667,5.966666666666667,0,0,0,0,4,1,0,0,0,0,4,5,0,2,0,0,5,1,0,1,1,0,5,3,0,2,0,0,3,2,0,1,0,0,2,0,0,2,0,0,6,0,0,0,0,0,2,0,0,3,2,0,12,9,0,9,1,0,3,2,0,8,7,0,6,0,0,3,1,0,5,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2018020098,2018-10-18,13.366666666666667,4.283333333333333,0,2,1,0,5,1,0,1,0,0,5,1,0,0,0,0,6,1,0,0,1,0,5,1,0,2,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,10,6,0,15,2,0,0,2,0,7,5,0,8,2,0,0,1,0,6,3,0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0
2018020105,2018-10-20,14.5,1.0166666666666666,0,0,0,0,5,0,0,0,0,0,9,2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,2,0,2,2,0,5,0,0,19,1,0,16,0,0,3,0,0,14,1,0,12,0,0,3,0,0,13,1,0,7,0,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0
2018020117,2018-10-21,15,5.55,0,1,2,0,4,5,0,1,0,0,8,4,0,0,0,0,5,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,15,12,0,8,1,0,6,2,0,14,9,0,7,1,0,6,0,0,13,6,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2018020135,2018-10-25,14.466666666666667,3.6,0,2,3,0,6,3,0,2,1,0,9,2,0,0,0,0,6,0,0,3,0,0,6,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,3,0,0,13,10,0,10,0,0,2,0,0,10,10,0,7,0,0,2,0,0,9,8,0,4,0,0,0,0,0,1,2,0,1,0,0,1,1,0,1,2,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0
