gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2018020013,2018-10-04,19.1,3.316666666666667,0.11666666666666667,5,3,0,8,3,0,11,0,0,16,1,0,2,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,2,0,0,5,4,0,19,6,0,11,0,0,5,4,0,15,4,0,6,0,0,4,4,0,14,4,0,5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
2018020026,2018-10-06,18.133333333333333,5.783333333333333,0,5,1,0,8,2,0,7,1,0,11,3,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0,0,6,0,0,1,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,8,3,0,19,10,0,25,1,0,5,2,0,11,5,0,21,1,0,5,2,0,9,4,0,16,1,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
2018020038,2018-10-09,16.983333333333334,3.6666666666666665,0.11666666666666667,7,2,0,8,2,0,10,1,0,11,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,0,2,0,0,3,3,0,14,5,0,18,2,0,2,3,0,12,4,0,15,2,0,2,2,0,9,3,0,14,1,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018020046,2018-10-11,12.966666666666667,5.783333333333333,0.5833333333333334,4,2,1,5,2,1,4,2,1,7,3,1,0,0,0,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,4,0,0,0,0,2,0,0,2,4,2,0,8,7,0,18,0,0,4,2,0,8,7,0,15,0,0,3,1,0,7,5,0,10,0,0,2,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018020070,2018-10-13,16.816666666666666,5.45,0.15,7,0,0,9,2,0,8,0,0,10,1,0,0,0,0,4,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,2,0,0,4,1,0,15,8,1,18,1,2,3,1,0,13,6,1,15,1,0,2,1,0,11,4,1,12,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,4,0,1,0,0,0,2,0,0,3,0,1
2018020079,2018-10-16,18.233333333333334,3.4166666666666665,0.9,4,1,0,8,1,0,12,2,1,14,3,1,2,0,0,5,0,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,4,2,0,4,3,0,20,8,0,18,0,1,3,1,0,14,6,0,15,0,1,2,1,0,10,4,0,13,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018020091,2018-10-18,15.766666666666667,5.783333333333333,0.15,5,1,0,10,3,0,9,2,1,14,3,1,0,0,0,7,0,0,1,1,0,7,2,0,1,0,0,4,0,0,0,0,0,1,0,0,2,0,0,8,0,0,2,0,0,2,0,0,5,1,0,15,4,0,15,3,1,5,0,0,15,1,0,15,3,1,5,0,0,14,1,0,11,3,1,0,0,0,2,1,0,0,0,1,1,0,0,2,1,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2018020103,2018-10-20,16.466666666666665,4.383333333333334,0.11666666666666667,2,0,0,6,2,0,11,1,1,12,4,1,1,0,0,9,0,0,3,0,0,12,1,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,6,0,0,2,0,0,6,2,0,8,3,0,15,8,0,26,4,0,6,1,0,9,6,0,17,4,0,4,1,0,6,6,0,13,4,0,1,0,0,2,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,1,0,0
2018020118,2018-10-22,17.25,2.5,0.1,3,1,0,3,1,0,7,1,0,9,2,0,2,0,0,6,0,0,1,0,0,3,0,0,1,0,0,4,0,0,1,0,0,4,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,1,0,10,4,0,20,1,0,0,1,0,7,4,0,16,1,0,0,1,0,6,4,0,11,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,2,0,3,0,0
2018020132,2018-10-24,17.316666666666666,5.2,0.23333333333333334,4,2,0,8,3,0,6,0,0,9,2,0,0,0,0,3,0,0,1,1,0,5,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,10,10,0,11,1,0,0,5,0,8,8,0,8,1,0,0,4,0,6,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,2,0,2,0,0
